        55      0.00   3540.   hnco     total
 cross section:
 lambda=.61-627.a  barfield et al. h+n+c+o
 lambda=1200.-2000.a  okabe, h. (1970)
    j. of chem. phys. 53, 9
 lambda=2100.-2550.a  dixon, r. n. and kirby, g. h. (1968)
    transactions faraday soc. 64, 2002

      0.61  2.69e-23
      1.24  2.64e-22
      2.44  2.15e-21
      6.15  3.41e-20
     12.57  2.54e-19
     24.62  7.91e-19
     62.09  6.56e-19
    121.67  3.01e-18
    248.57  1.12e-17
    626.82  3.45e-17
   1200.00  5.28e-17
   1220.00  2.64e-17
   1240.00  4.06e-17
   1260.00  3.25e-17
   1280.00  2.64e-17
   1300.00  3.35e-17
   1320.00  1.42e-17
   1340.00  9.95e-17
   1345.00  1.73e-17
   1352.00  4.87e-17
   1360.00  1.62e-17
   1370.00  1.26e-16
   1380.00  2.74e-17
   1400.00  1.12e-17
   1420.00  3.74e-18
   1440.00  3.00e-18
   1460.00  2.23e-18
   1480.00  2.52e-18
   1500.00  2.76e-18
   1520.00  3.65e-18
   1540.00  3.74e-18
   1560.00  4.26e-18
   1580.00  4.34e-18
   1600.00  3.98e-18
   1620.00  3.65e-18
   1640.00  4.67e-18
   1660.00  4.95e-18
   1680.00  4.67e-18
   1700.00  4.47e-18
   1720.00  3.74e-18
   1740.00  3.17e-18
   1760.00  2.23e-18
   1780.00  1.62e-18
   1800.00  1.22e-18
   1850.00  7.31e-19
   1900.00  6.09e-19
   1950.00  4.87e-19
   2000.00  3.25e-19
   2100.00  3.00e-20
   2200.00  8.00e-21
   2300.00  3.00e-21
   2400.00  1.00e-21
   2500.00  5.00e-22
   2550.00  3.00e-22
   3540.00  1.00e-24
  1
         4      0.00   3540.   hnco     nhdco       26

      0.60  5.00e-01
   2530.00  5.00e-01
   2531.00  1.00e+00
   3540.00  1.00e+00
         0      0.00   2530.   hnco     hdnco       26
***
