        75      0.00   5980.   hno3     ohdno2      26
 cross section:
 lambda=0.0-1100.a  same as no3
 lambda=1100.-1900.a  okabe, h. (1980)
    j. chem. phys. 72, 6642
 lambda=1900.-3300.a  molina, l. t. and molina, m. j. (1980)
    "ultraviolet absorption cross sections of ho2no2 vapor,"
    report no. faa-ee-80-07

      0.61  5.30e-23
      1.12  5.10e-22
      2.44  4.20e-21
      6.15  6.40e-20
     12.57  4.70e-19
     22.64  2.50e-18
     23.61  5.20e-19
     24.62  5.80e-19
     29.13  9.20e-19
     30.38  2.60e-19
     62.09  1.40e-18
    121.70  5.70e-18
    248.60  2.10e-17
    625.80  5.30e-17
    915.00  4.50e-17
    940.00  3.00e-17
   1080.00  1.02e-17
   1100.00  1.42e-17
   1120.00  1.13e-17
   1140.00  1.08e-17
   1160.00  1.17e-17
   1180.00  1.11e-17
   1200.00  1.40e-17
   1220.00  1.80e-17
   1240.00  1.15e-17
   1260.00  1.78e-17
   1280.00  1.88e-17
   1300.00  1.80e-17
   1320.00  1.72e-17
   1340.00  2.00e-17
   1360.00  2.65e-17
   1380.00  2.30e-17
   1400.00  1.94e-17
   1420.00  1.30e-17
   1440.00  9.50e-18
   1460.00  7.00e-18
   1480.00  6.10e-18
   1500.00  6.30e-18
   1550.00  7.70e-18
   1600.00  7.90e-18
   1650.00  8.60e-18
   1700.00  9.90e-18
   1750.00  1.17e-17
   1800.00  1.33e-17
   1850.00  1.26e-17
   1900.00  1.56e-17
   1950.00  1.15e-17
   2000.00  6.61e-18
   2050.00  2.93e-18
   2100.00  1.05e-18
   2150.00  3.56e-19
   2200.00  1.51e-19
   2250.00  8.62e-20
   2300.00  5.65e-20
   2350.00  3.72e-20
   2400.00  2.57e-20
   2450.00  2.10e-20
   2500.00  1.91e-20
   2550.00  1.90e-20
   2600.00  1.88e-20
   2650.00  1.71e-20
   2700.00  1.59e-20
   2750.00  1.35e-20
   2800.00  1.10e-20
   2850.00  8.48e-21
   2900.00  6.07e-21
   2950.00  4.09e-21
   3000.00  2.41e-21
   3050.00  1.46e-21
   3100.00  7.10e-22
   3150.00  3.20e-22
   3200.00  1.20e-22
   3250.00  5.00e-23
   3300.00  2.00e-23
   5980.00  1.00e-35
  0
***
