        37      0.00   4395.00 ho2      ohdo        26
 lambda=1.-1850.a  from h2o2

      1.00  2.00e-22
      5.00  2.00e-20
     10.00  2.00e-19
     22.60  1.10e-18
     23.60  6.00e-20
    100.00  2.00e-18
    200.00  1.00e-17
    300.00  2.00e-17
    400.00  2.50e-17
    500.00  3.00e-17
    600.00  3.40e-17
    700.00  3.50e-17
    800.00  3.00e-17
    900.00  2.40e-17
   1000.00  1.00e-17
   1200.00  1.00e-17
   1250.00  1.00e-17
   1300.00  9.67e-18
   1350.00  7.81e-18
   1400.00  5.58e-18
   1450.00  4.28e-18
   1500.00  3.72e-18
   1550.00  3.53e-18
   1600.00  3.72e-18
   1650.00  4.09e-18
   1700.00  3.53e-18
   1750.00  2.05e-18
   1800.00  1.30e-18
   1850.00  1.04e-18
   1900.00  4.30e-18
   2000.00  4.80e-18
   2100.00  4.90e-18
   2200.00  4.00e-18
   2300.00  2.60e-18
   2400.00  1.20e-18
   2500.00  5.00e-19
   4395.00  1.00e-90
  0
***
