        51      0.00  13400.   ho2no2   total
 cross section:
 lambda=0.0-1900.a  from sum of ho2 and no2
 lambda=1900.-3300.a  molina, l. t. and molina, m. j. (1980)
    "ultraviolet absorption cross sections of ho2no2 vapor,"
    report no. faa-ee-80-07

      1.00  5.70e-22
      6.00  6.60e-20
     22.60  3.00e-18
     23.60  5.50e-19
    200.00  2.00e-17
    600.00  7.30e-17
    900.00  6.90e-17
   1200.00  1.77e-17
   1300.00  2.43e-17
   1400.00  1.81e-17
   1500.00  1.55e-17
   1600.00  1.99e-17
   1650.00  2.12e-17
   1700.00  2.14e-17
   1750.00  1.35e-17
   1800.00  8.20e-18
   1850.00  1.30e-18
   1900.00  1.01e-17
   1950.00  8.16e-18
   2000.00  5.63e-18
   2050.00  3.67e-18
   2100.00  2.41e-18
   2150.00  1.64e-18
   2200.00  1.20e-18
   2250.00  9.52e-19
   2300.00  8.08e-19
   2350.00  6.98e-19
   2400.00  5.91e-19
   2450.00  4.97e-19
   2500.00  4.18e-19
   2550.00  3.51e-19
   2600.00  2.78e-19
   2650.00  2.24e-19
   2700.00  1.78e-19
   2750.00  1.34e-19
   2800.00  9.30e-20
   2850.00  6.30e-20
   2900.00  4.00e-20
   2950.00  2.60e-20
   3000.00  1.60e-20
   3050.00  1.10e-20
   3100.00  7.00e-21
   3150.00  4.00e-21
   3200.00  3.00e-21
   3250.00  2.00e-21
   3300.00  1.00e-21
   3400.00  1.00e-22
   3500.00  3.70e-23
   3600.00  1.60e-23
   7300.00  1.00e-30
  13400.00  1.00e-35
  1
         4      0.00   7300.   ho2no2   hodno3      26
 branching ratio guessed

      1.00  5.00e-01
   7299.00  5.00e-01
   7300.00  0.00e 00
  13400.00  0.00e 00
         0      0.00  13400.   ho2no2   ho2dno2     26
***
