        90      0.00   5180.   hobr     ohdbr       26
 lambda=12.40-1127.a  data from hrec bro+h
 lambda=0.6-5180.a  obtained from hocl through energy shifting by 1/300.a
    from 2300.a to 2600.a
    see baulch et al.

      0.61  5.53e-23
      1.12  3.51e-21
      2.44  2.34e-20
      6.15  4.28e-20
     12.40  4.50e-19
     13.80  5.90e-19
     15.50  8.15e-19
     17.70  1.10e-18
     20.70  1.47e-18
     22.50  1.86e-18
     24.80  1.53e-18
     31.00  2.35e-18
     41.30  3.91e-18
     62.00  6.29e-18
     95.40  7.10e-18
    124.00  5.42e-18
    138.00  4.83e-18
    155.00  4.54e-18
    177.00  4.33e-18
    207.00  5.15e-18
    248.00  6.61e-18
    310.00  8.40e-18
    413.00  1.34e-17
    620.23  3.23e-17
   1033.00  7.00e-17
   1127.00  2.70e-17
   1136.28  7.10e-18
   1164.25  9.50e-18
   1175.46  9.00e-18
   1220.41  1.70e-18
   1248.60  3.80e-18
   1254.25  2.00e-18
   1271.21  1.80e-18
   1286.72  1.58e-17
   1293.86  2.00e-18
   1316.57  1.00e-18
   1327.94  1.50e-18
   1330.56  7.55e-17
   1339.32  1.10e-18
   1362.13  9.00e-19
   1367.83  2.57e-17
   1380.52  3.20e-16
   1390.70  4.00e-19
   1413.61  3.00e-18
   1419.35  1.96e-17
   1448.07  2.50e-18
   1505.75  2.11e-18
   1534.71  2.51e-18
   1563.75  2.81e-18
   1592.87  3.24e-18
   1622.06  3.45e-18
   1651.33  3.72e-18
   1680.69  3.82e-18
   1710.12  3.47e-18
   1739.64  3.32e-18
   1769.23  2.97e-18
   1798.91  2.48e-18
   1828.66  2.04e-18
   1858.50  1.63e-18
   1888.42  1.31e-18
   1918.42  1.09e-18
   1948.51  8.08e-19
   1978.68  5.88e-19
   2008.93  4.32e-19
   2039.26  3.13e-19
   2069.68  2.15e-19
   2100.18  1.45e-19
   2161.44  6.18e-20
   2223.05  5.20e-20
   2347.29  6.10e-20
   2472.93  1.10e-19
   2600.00  1.86e-19
   2728.52  2.23e-19
   2858.51  1.80e-19
   2990.00  1.08e-19
   3123.02  6.20e-20
   3257.59  4.80e-20
   3393.74  5.30e-20
   3531.49  6.10e-20
   3670.89  6.20e-20
   3811.95  5.00e-20
   3954.71  3.70e-20
   4099.19  2.40e-20
   4245.43  1.40e-20
   4393.47  8.00e-21
   4543.32  4.50e-21
   4695.04  2.40e-21
   4848.64  1.50e-21
   5004.18  5.00e-22
   5180.00  4.00e-22
  0
***
