        84      0.00   5130.   hocl     ohdcl       26
 lambda=0.6-780.a  synthesized from atomic cross sections
 lambda=780.-2000.a  same as hcl

      0.61  5.53e-23
      1.12  3.51e-21
      2.44  2.34e-20
      6.15  4.28e-20
     12.57  2.99e-19
     22.64  1.33e-18
     23.61  8.30e-19
     24.62  9.59e-19
     62.09  6.70e-19
    121.70  1.60e-18
    248.60  6.28e-18
    625.80  3.60e-17
    741.50  4.20e-17
    773.50  4.20e-17
    806.70  4.30e-17
    841.15  4.72e-17
    877.46  4.71e-17
   1050.00  4.00e-18
   1060.00  8.00e-18
   1075.00  7.10e-18
   1100.00  9.50e-18
   1110.00  9.00e-18
   1150.00  1.70e-18
   1175.00  3.80e-18
   1180.00  2.00e-18
   1195.00  1.80e-18
   1208.70  1.58e-17
   1215.00  2.00e-18
   1235.00  1.00e-18
   1245.00  1.50e-18
   1247.30  7.55e-17
   1255.00  1.10e-18
   1275.00  9.00e-19
   1280.00  2.57e-17
   1291.10  3.20e-16
   1300.00  4.00e-19
   1320.00  3.00e-18
   1325.00  1.96e-17
   1350.00  2.50e-18
   1400.00  2.11e-18
   1425.00  2.51e-18
   1450.00  2.81e-18
   1475.00  3.24e-18
   1500.00  3.45e-18
   1525.00  3.72e-18
   1550.00  3.82e-18
   1575.00  3.47e-18
   1600.00  3.32e-18
   1625.00  2.97e-18
   1650.00  2.48e-18
   1675.00  2.04e-18
   1700.00  1.63e-18
   1725.00  1.31e-18
   1750.00  1.09e-18
   1775.00  8.08e-19
   1800.00  5.88e-19
   1825.00  4.32e-19
   1850.00  3.13e-19
   1875.00  2.15e-19
   1900.00  1.45e-19
   1950.00  6.18e-20
   2000.00  5.20e-20
   2100.00  6.10e-20
   2200.00  1.10e-19
   2300.00  1.86e-19
   2400.00  2.23e-19
   2500.00  1.80e-19
   2600.00  1.08e-19
   2700.00  6.20e-20
   2800.00  4.80e-20
   2900.00  5.30e-20
   3000.00  6.10e-20
   3100.00  6.20e-20
   3200.00  5.00e-20
   3300.00  3.70e-20
   3400.00  2.40e-20
   3500.00  1.40e-20
   3600.00  8.00e-21
   3700.00  4.50e-21
   3800.00  2.40e-21
   3900.00  1.50e-21
   4000.00  5.00e-22
   4200.00  4.00e-22
   5130.00  1.00e-22
  0
***
