        98      0.00   5200.00 hoi      ohdi        26
 threshold lambda guessed to lie beyond that of hocl and hobr
 lambda=12.40-443.a  h+o (from hrec) + i (t-4 data)
 lambda=0.6-5150.a  obtained from hocl through energy shifting by 1/100.a
    from 2300.a to 2400.a
    see baulch et al.

      0.61  5.53e-23
      1.12  3.51e-21
      2.44  2.34e-20
      6.15  4.28e-20
     12.40  2.01e-18
     13.80  2.37e-18
     15.50  2.90e-18
     17.70  3.80e-18
     18.50  4.34e-18
     20.70  1.07e-18
     22.50  1.26e-18
     24.80  8.34e-19
     31.00  1.05e-18
     41.30  1.51e-18
     62.00  1.59e-18
     95.40  1.85e-18
    124.00  8.22e-18
    138.00  1.68e-17
    155.00  3.82e-17
    177.00  5.89e-17
    207.00  1.37e-17
    248.00  6.12e-18
    310.00  7.38e-18
    413.00  9.63e-18
    443.00  1.04e-17
    632.98  3.60e-17
    751.60  4.20e-17
    784.49  4.20e-17
    818.66  4.30e-17
    854.17  4.72e-17
    891.63  4.71e-17
   1070.36  4.00e-18
   1080.75  8.00e-18
   1096.35  7.10e-18
   1122.37  9.50e-18
   1132.78  9.00e-18
   1174.47  1.70e-18
   1200.56  3.80e-18
   1205.78  2.00e-18
   1221.44  1.80e-18
   1235.76  1.58e-17
   1242.35  2.00e-18
   1263.26  1.00e-18
   1273.73  1.50e-18
   1276.14  7.55e-17
   1284.20  1.10e-18
   1305.15  9.00e-19
   1310.39  2.57e-17
   1322.02  3.20e-16
   1331.35  4.00e-19
   1352.34  3.00e-18
   1357.59  1.96e-17
   1383.84  2.50e-18
   1436.43  2.11e-18
   1462.76  2.51e-18
   1489.12  2.81e-18
   1515.50  3.24e-18
   1541.90  3.45e-18
   1568.33  3.72e-18
   1594.78  3.82e-18
   1621.26  3.47e-18
   1647.76  3.32e-18
   1674.29  2.97e-18
   1700.84  2.48e-18
   1727.42  2.04e-18
   1754.02  1.63e-18
   1780.65  1.31e-18
   1807.30  1.09e-18
   1833.97  8.08e-19
   1860.67  5.88e-19
   1887.40  4.32e-19
   1914.15  3.13e-19
   1940.93  2.15e-19
   1967.73  1.45e-19
   2021.41  6.18e-20
   2075.19  5.20e-20
   2183.05  6.10e-20
   2291.32  1.10e-19
   2400.00  1.86e-19
   2509.09  2.23e-19
   2618.60  1.80e-19
   2728.52  1.08e-19
   2838.86  6.20e-20
   2949.62  4.80e-20
   3060.80  5.30e-20
   3172.41  6.10e-20
   3284.45  6.20e-20
   3396.92  5.00e-20
   3509.83  3.70e-20
   3623.17  2.40e-20
   3736.94  1.40e-20
   3851.16  8.00e-21
   3965.83  4.50e-21
   4080.93  2.40e-21
   4196.49  1.50e-21
   4312.50  5.00e-22
   4545.88  4.00e-22
   5200.00  1.00e-22
  0
***
