       116      0.00   5910.00 hono     ohdno       26
 cross sections:
 lambda=0.6-940.a  barfield et al.
 lambda=2000.-4000.a (except 3120.-3900.a)  cox, r. a. and derwent, r. g.
(1976)
    j. photochem. 6, 23
 lambda=3120.-3900.a  stockwell, w. r. and calvert, j. g. (1978)
    j. photochem. 8, 193

      0.61  3.80e-23
      1.12  3.70e-22
      2.44  3.00e-21
      6.15  4.60e-20
     12.57  3.40e-19
     22.64  1.90e-18
     23.61  4.90e-19
     24.62  5.40e-19
     29.13  8.20e-19
     30.38  1.50e-19
     62.09  9.00e-19
    121.70  4.10e-18
    248.60  1.50e-17
    625.80  3.90e-17
    915.00  4.50e-17
    940.00  3.00e-17
   2000.00  1.25e-18
   2050.00  1.85e-18
   2100.00  2.95e-18
   2150.00  4.25e-18
   2200.00  1.77e-18
   2250.00  1.40e-18
   2300.00  1.04e-18
   2350.00  6.80e-19
   2400.00  4.20e-19
   2450.00  2.80e-19
   2500.00  1.80e-19
   2550.00  1.10e-19
   2600.00  8.00e-20
   2650.00  4.00e-20
   2700.00  2.00e-20
   2750.00  4.00e-21
   3110.00  4.00e-21
   3120.00  2.00e-21
   3130.00  4.20e-21
   3140.00  4.60e-21
   3150.00  4.20e-21
   3160.00  3.00e-21
   3170.00  4.60e-21
   3180.00  3.60e-20
   3190.00  6.10e-20
   3200.00  2.10e-20
   3210.00  4.27e-20
   3220.00  4.01e-20
   3230.00  3.93e-20
   3240.00  4.01e-20
   3250.00  4.04e-20
   3260.00  3.13e-20
   3270.00  4.12e-20
   3280.00  7.55e-20
   3290.00  6.64e-20
   3300.00  7.29e-20
   3310.00  8.70e-20
   3320.00  1.38e-19
   3330.00  5.91e-20
   3340.00  5.91e-20
   3350.00  6.45e-20
   3360.00  5.91e-20
   3370.00  4.58e-20
   3380.00  1.91e-19
   3390.00  1.63e-19
   3400.00  1.05e-19
   3410.00  8.70e-20
   3420.00  3.35e-19
   3430.00  2.01e-19
   3440.00  1.02e-19
   3450.00  8.54e-20
   3460.00  8.32e-20
   3470.00  8.20e-20
   3480.00  7.49e-20
   3490.00  7.13e-20
   3500.00  6.83e-20
   3510.00  1.74e-19
   3520.00  1.14e-19
   3530.00  3.71e-19
   3540.00  4.96e-19
   3550.00  2.46e-19
   3560.00  1.19e-19
   3570.00  9.35e-20
   3580.00  7.78e-20
   3590.00  7.29e-20
   3600.00  6.83e-20
   3610.00  6.90e-20
   3620.00  7.32e-20
   3630.00  9.00e-20
   3640.00  1.21e-19
   3650.00  1.33e-19
   3660.00  2.13e-19
   3670.00  3.52e-19
   3680.00  4.50e-19
   3690.00  2.93e-19
   3700.00  1.19e-19
   3710.00  9.46e-20
   3720.00  8.85e-20
   3730.00  7.44e-20
   3740.00  4.77e-20
   3750.00  2.70e-20
   3760.00  1.90e-20
   3770.00  1.50e-20
   3780.00  1.90e-20
   3790.00  5.80e-20
   3800.00  7.78e-20
   3810.00  1.14e-19
   3820.00  1.40e-19
   3830.00  1.72e-19
   3840.00  1.99e-19
   3850.00  1.90e-19
   3860.00  1.19e-19
   3870.00  5.65e-20
   3880.00  3.20e-20
   3890.00  1.90e-20
   3900.00  1.20e-20
   3910.00  5.00e-21
   3940.00  4.00e-21
   4000.00  4.00e-21
   5910.00  1.00e-35
  0
***
