        47      0.00  16500.   ino      idno        47
 actual threshold is 16500.a
 cross section:
 lambda=0.6-12.30a  synthesized from constituents (=i)
 lambda=12.40-443.a  data from hrec hoi-h+n
 lambda=2300.-4600.a  j. phys. chem. ref. data, 11, 2 (1982)

      0.60  5.00e-21
      2.48  1.80e-19
      2.50  5.00e-20
     12.30  2.20e-18
     12.40  2.08e-18
     13.80  2.49e-18
     15.50  3.05e-18
     17.70  4.01e-18
     18.50  4.57e-18
     20.70  1.38e-18
     22.50  1.61e-18
     24.80  1.26e-18
     31.00  1.08e-18
     41.30  1.57e-18
     62.00  1.76e-18
     95.40  2.38e-18
    124.00  9.18e-18
    138.00  1.80e-17
    155.00  3.96e-17
    177.00  6.07e-17
    207.00  1.60e-17
    248.00  9.22e-18
    310.00  1.17e-17
    413.00  1.61e-17
    443.00  1.74e-17
   2300.00  1.40e-17
   2350.00  5.30e-17
   2380.00  7.00e-17
   2450.00  6.50e-17
   2510.00  5.90e-17
   2600.00  2.40e-17
   2700.00  1.00e-17
   3000.00  9.00e-19
   3600.00  4.50e-19
   3700.00  5.90e-19
   3800.00  6.50e-19
   3900.00  7.80e-19
   4000.00  9.20e-18
   4100.00  1.00e-18
   4200.00  1.00e-18
   4300.00  9.40e-19
   4400.00  8.00e-19
   4500.00  6.00e-19
   4600.00  4.00e-19
   5000.00  1.00e-19
   6000.00  1.00e-20
  16500.00  1.00e-30
  0
***
