        62      0.00   7850.00 iono2    iodno2      26
 lambda=12.40-443.a  data from hrec hoi-h+no2
 iono2 cross section = brono2 cross section shifted red by 500a.

      1.00  3.37e-21
      7.00  7.46e-20
     12.40  2.35e-18
     13.80  2.71e-18
     15.58  3.24e-18
     17.70  4.14e-18
     18.50  6.24e-18
     20.70  2.97e-18
     22.50  3.16e-18
     24.80  1.37e-18
     31.00  1.20e-18
     41.30  1.66e-18
     62.00  2.49e-18
     95.40  4.35e-18
    124.00  1.23e-17
    138.00  2.09e-17
    155.00  4.23e-17
    177.00  6.69e-17
    207.00  2.16e-17
    248.00  2.10e-17
    310.00  2.21e-17
    413.00  3.59e-17
    443.00  3.66e-17
   1890.47  1.50e-17
   1931.81  1.30e-17
   1983.52  1.00e-17
   2035.27  7.20e-18
   2087.08  4.30e-18
   2138.92  3.20e-18
   2190.82  2.70e-18
   2242.76  2.40e-18
   2294.74  2.10e-18
   2346.77  1.90e-18
   2398.85  1.70e-18
   2450.98  1.30e-18
   2503.15  1.00e-18
   2555.36  7.80e-19
   2607.62  6.10e-19
   2659.93  4.80e-19
   2712.29  3.90e-19
   2764.69  3.40e-19
   2817.14  3.10e-19
   2869.63  2.90e-19
   2922.17  2.70e-19
   2974.76  2.40e-19
   3027.39  2.20e-19
   3080.07  1.90e-19
   3132.80  1.80e-19
   3185.58  1.50e-19
   3238.40  1.40e-19
   3291.27  1.20e-19
   3344.19  1.10e-19
   3397.15  1.00e-19
   3450.16  9.50e-20
   3503.22  8.70e-20
   3556.32  8.50e-20
   3609.48  7.70e-20
   3715.93  6.20e-20
   3822.57  4.90e-20
   3929.40  4.00e-20
   4036.42  2.80e-20
   7850.00  1.00e-30
  0
***
