       133      0.00   3407.00 n2o      total
 cross section:
 lambda=0.61-625.a  synthesized from atomic cross sections
    barfield et al.
 lambda=1080.-1700.a  zelikoff, m., watanabe, k., and inn, e. c. y. (1953)
    j. chem. phys. 21, 1643
 lambda=1730.-2400.a  selwyn, g., podolske, j., and johnston, h. s. (1977)
    geophys. res. lett. 4, 427

      0.61  3.10e-23
      1.12  3.00e-22
      2.44  2.50e-21
      6.15  3.90e-20
     12.57  2.90e-19
     22.64  1.30e-18
     23.61  8.30e-19
     24.62  9.80e-19
     29.13  1.50e-18
     30.38  1.40e-19
     62.09  7.50e-19
    121.70  3.40e-18
    248.60  1.30e-17
    625.80  3.60e-17
   1080.00  3.45e-17
   1090.00  6.09e-17
   1100.00  6.50e-17
   1110.00  4.47e-17
   1120.00  3.65e-17
   1130.00  3.45e-17
   1140.00  2.23e-17
   1150.00  1.32e-17
   1160.00  1.42e-17
   1170.00  1.22e-17
   1180.00  1.22e-16
   1190.00  5.08e-18
   1200.00  3.25e-18
   1210.00  3.05e-18
   1220.00  3.05e-18
   1230.00  6.09e-18
   1245.00  1.83e-17
   1260.00  4.67e-17
   1275.00  8.93e-17
   1290.00  9.74e-17
   1305.00  7.11e-17
   1320.00  3.65e-17
   1335.00  1.83e-17
   1350.00  6.09e-18
   1365.00  2.03e-18
   1380.00  8.12e-19
   1395.00  8.93e-19
   1410.00  1.83e-18
   1425.00  4.47e-18
   1440.00  5.68e-18
   1445.00  8.53e-18
   1450.00  5.89e-18
   1456.00  9.74e-18
   1462.00  5.48e-18
   1467.00  8.93e-18
   1470.00  4.67e-18
   1476.00  6.50e-18
   1485.00  3.05e-18
   1500.00  1.62e-18
   1515.00  8.93e-19
   1530.00  4.06e-19
   1545.00  2.23e-19
   1560.00  8.12e-20
   1575.00  4.06e-20
   1590.00  3.25e-20
   1600.00  4.47e-20
   1625.00  5.28e-20
   1650.00  6.29e-20
   1675.00  7.31e-20
   1700.00  9.34e-20
   1730.00  1.13e-19
   1740.00  1.19e-19
   1750.00  1.26e-19
   1760.00  1.34e-19
   1770.00  1.40e-19
   1780.00  1.39e-19
   1790.00  1.44e-19
   1800.00  1.46e-19
   1810.00  1.46e-19
   1820.00  1.47e-19
   1830.00  1.46e-19
   1840.00  1.44e-19
   1850.00  1.43e-19
   1860.00  1.36e-19
   1870.00  1.31e-19
   1880.00  1.25e-19
   1890.00  1.17e-19
   1900.00  1.11e-19
   1910.00  1.04e-19
   1920.00  9.75e-20
   1930.00  8.95e-20
   1940.00  8.11e-20
   1950.00  7.57e-20
   1960.00  6.82e-20
   1970.00  6.10e-20
   1980.00  5.35e-20
   1990.00  4.70e-20
   2000.00  4.09e-20
   2010.00  3.58e-20
   2020.00  3.09e-20
   2030.00  2.67e-20
   2040.00  2.30e-20
   2050.00  1.95e-20
   2060.00  1.65e-20
   2070.00  1.38e-20
   2080.00  1.16e-20
   2090.00  9.80e-21
   2100.00  7.55e-21
   2110.00  6.19e-21
   2120.00  5.18e-21
   2130.00  4.21e-21
   2140.00  3.42e-21
   2150.00  2.76e-21
   2160.00  2.23e-21
   2170.00  1.79e-21
   2180.00  1.42e-21
   2190.00  1.15e-21
   2200.00  9.22e-22
   2210.00  7.39e-22
   2220.00  5.88e-22
   2230.00  4.74e-22
   2240.00  3.75e-22
   2250.00  3.03e-22
   2260.00  2.39e-22
   2270.00  1.90e-22
   2280.00  1.51e-22
   2290.00  1.20e-22
   2300.00  9.55e-23
   2310.00  7.60e-23
   2320.00  6.05e-23
   2330.00  4.78e-23
   2340.00  3.60e-23
   2350.00  3.01e-23
   2360.00  2.40e-23
   2370.00  1.91e-23
   2380.00  1.52e-23
   2390.00  1.23e-23
   2400.00  1.01e-23
   3407.00  1.00e-32
  1
         4      0.00   2115.00 n2o      n2do1s      26
 branching ratio:
 lambda=1200.-1400.a  okabe, h. (1978)
    photochemistry of small molecules, hohn wiley & sons, new york, p. 2.

      0.60  1.00e 00
   1400.00  1.00e 00
   2115.00  0.00e 00
   3407.00  0.00e 00
         0      0.00   3407.00 n2o      n2do1d      26
***
