        96      0.00  94100.   n2o5     2no2do      26
 cross section:
 lambda=0.00-2000.a  sum of cross sections for no2 and no3
 lambda=2000.-4055.a  yao, f., wilson, i., and johnston, h. (1982)
    j. phys. chem. 86, 3611.

      0.61  9.10e-23
      1.12  8.80e-22
      2.44  7.30e-21
      6.15  1.10e-19
     12.57  8.10e-19
     22.64  4.40e-18
     23.61  1.01e-18
     24.62  1.12e-18
     29.13  1.74e-18
     30.38  4.10e-19
     62.09  2.30e-18
    121.70  9.80e-18
    248.60  3.60e-17
    625.80  9.20e-17
    915.00  9.00e-17
    940.00  6.00e-17
   1080.00  2.04e-17
   1100.00  2.84e-17
   1120.00  2.60e-17
   1140.00  2.44e-17
   1160.00  1.62e-17
   1180.00  1.71e-17
   1200.00  1.54e-17
   1220.00  2.24e-17
   1240.00  3.86e-17
   1260.00  6.50e-17
   1280.00  6.34e-17
   1300.00  2.92e-17
   1320.00  1.38e-17
   1340.00  2.52e-17
   1360.00  1.87e-17
   1380.00  2.24e-17
   1400.00  2.44e-17
   1420.00  2.84e-17
   1440.00  4.14e-17
   1460.00  2.68e-17
   1480.00  2.28e-17
   1500.00  2.36e-17
   1520.00  4.38e-17
   1540.00  3.36e-17
   1560.00  3.28e-17
   1580.00  3.08e-17
   1600.00  3.24e-17
   1650.00  3.42e-17
   1700.00  3.58e-17
   1750.00  2.28e-17
   1800.00  1.38e-17
   1850.00  5.20e-19
   1900.00  5.86e-19
   1950.00  4.84e-19
   2000.00  9.20e-18
   2050.00  8.20e-18
   2100.00  5.60e-18
   2150.00  3.70e-18
   2200.00  2.20e-18
   2250.00  1.44e-18
   2300.00  9.90e-19
   2350.00  7.70e-19
   2400.00  6.20e-19
   2450.00  5.20e-19
   2500.00  4.00e-19
   2550.00  3.20e-19
   2600.00  2.60e-19
   2650.00  2.00e-19
   2700.00  1.61e-19
   2750.00  1.30e-19
   2800.00  1.17e-19
   2850.00  9.26e-20
   2900.00  6.96e-20
   2950.00  5.23e-20
   3000.00  3.93e-20
   3050.00  2.96e-20
   3100.00  2.22e-20
   3150.00  1.67e-20
   3200.00  1.26e-20
   3250.00  9.44e-21
   3300.00  7.10e-21
   3350.00  5.33e-21
   3400.00  4.01e-21
   3450.00  3.01e-21
   3500.00  2.27e-21
   3550.00  1.70e-21
   3600.00  1.28e-21
   3650.00  9.62e-22
   3700.00  7.23e-22
   3750.00  5.44e-22
   3800.00  4.09e-22
   3850.00  3.07e-22
   3900.00  2.31e-22
   3950.00  1.74e-22
   4000.00  1.30e-22
   4050.00  9.81e-23
   4055.00  9.53e-23
   4500.00  1.00e-23
   5000.00  1.00e-24
  94100.00  1.00e-35
  0
***
