        56      0.00   2412.00 na       nai          2
 cross section (theoretical):
 lambda=.58-333.7a  barfield et al.
 lambda=573.-2410.a  chang, j. and kelly, h. p. (1974)
    phys. rev. a 12, 92

      0.58  5.40e-23
      1.10  3.87e-22
      2.06  2.60e-21
      3.41  1.13e-20
      5.20  3.66e-20
      7.91  1.13e-19
     11.08  2.67e-19
     11.56  1.95e-20
     13.11  2.74e-20
     18.35  6.75e-20
     24.62  1.46e-19
     31.69  2.78e-19
     40.77  5.19e-19
     50.32  8.59e-19
     62.09  1.40e-18
     76.63  2.22e-18
     94.50  3.41e-18
    111.80  4.70e-18
    132.30  6.17e-18
    156.50  7.30e-18
    170.30  7.68e-18
    177.60  7.59e-18
    185.20  7.74e-18
    210.10  7.87e-18
    238.30  7.36e-18
    270.40  6.11e-18
    306.70  4.31e-18
    319.30  3.67e-18
    333.70  5.00e-20
    573.00  9.80e-20
    587.00  1.02e-19
    613.00  1.07e-19
    648.00  1.12e-19
    684.00  1.17e-19
    723.00  1.22e-19
    768.00  1.27e-19
    819.00  1.31e-19
    877.00  1.31e-19
    944.00  1.30e-19
    981.00  1.28e-19
   1000.00  1.24e-19
   1100.00  1.20e-19
   1200.00  1.16e-19
   1300.00  1.08e-19
   1400.00  9.10e-20
   1500.00  7.00e-20
   1600.00  5.00e-20
   1700.00  3.00e-20
   1800.00  1.00e-20
   1900.00  1.00e-21
   2000.00  1.00e-24
   2100.00  1.00e-24
   2200.00  1.00e-20
   2300.00  3.00e-20
   2400.00  5.70e-20
   2410.00  5.90e-20
  0
***
