        71      0.00   2412.   nae      nai          2
 cross section:
 lambda=.58-333.7a  barfield et al.
 lambda=500.-575.a  hudson, r. d. and carter, v. l.
    j. opt. soc. am. 58, 430 (1968)
 lambda=600.-2412.a  hudson, r. d. and carter, v. l.
    j. opt. soc. am. 57, 651 (1967)

      0.58  5.40e-23
      1.10  3.87e-22
      2.06  2.60e-21
      3.41  1.13e-20
      5.20  3.66e-20
      7.91  1.13e-19
     11.08  2.67e-19
     11.56  1.95e-20
     13.11  2.74e-20
     18.35  6.75e-20
     24.62  1.46e-19
     31.69  2.78e-19
     40.77  5.19e-19
     50.32  8.59e-19
     62.09  1.40e-18
     76.63  2.22e-18
     94.50  3.41e-18
    111.80  4.70e-18
    132.30  6.17e-18
    156.50  7.30e-18
    170.30  7.68e-18
    177.60  7.59e-18
    185.20  7.74e-18
    210.10  7.87e-18
    238.30  7.36e-18
    270.40  6.11e-18
    306.70  4.31e-18
    319.30  3.67e-18
    333.70  5.00e-20
    500.00  1.90e-19
    525.00  2.20e-19
    550.00  2.30e-19
    575.00  2.40e-19
    600.00  2.30e-19
    650.00  2.34e-19
    700.00  2.30e-19
    750.00  2.19e-19
    800.00  2.07e-19
    850.00  1.95e-19
    900.00  1.93e-19
    950.00  1.92e-19
   1000.00  1.91e-19
   1050.00  1.89e-19
   1100.00  1.82e-19
   1150.00  1.75e-19
   1200.00  1.66e-19
   1250.00  1.55e-19
   1300.00  1.45e-19
   1350.00  1.34e-19
   1400.00  1.22e-19
   1450.00  1.10e-19
   1500.00  9.70e-20
   1550.00  8.50e-20
   1600.00  7.20e-20
   1650.00  5.70e-20
   1700.00  3.80e-20
   1750.00  1.90e-20
   1800.00  6.00e-21
   1850.00  1.00e-21
   1900.00  5.00e-22
   1950.00  1.00e-22
   2000.00  5.00e-22
   2050.00  1.00e-21
   2100.00  8.00e-21
   2150.00  2.20e-20
   2200.00  4.50e-20
   2250.00  7.00e-20
   2300.00  9.20e-20
   2350.00  1.10e-19
   2400.00  1.26e-19
   2412.00  1.30e-19
  0
***
