        99      1.00   3000.00 nh2      nhdh     28 26
 lambda=1.00-840.00a  computed from n and h data (n+2*h)
 lambda=1215.0-1970.0a by r.p. saxon preprint (1982)

      1.00  4.00e-23
      5.00  5.70e-21
     10.00  4.20e-20
     15.00  1.40e-19
     20.00  2.80e-19
     24.30  4.30e-19
     30.00  7.20e-19
     35.00  4.67e-20
     40.00  6.41e-20
     45.00  8.65e-20
     50.00  1.12e-19
     60.00  1.74e-19
     70.00  2.47e-19
     80.00  3.50e-19
     90.00  4.75e-19
    100.00  6.08e-19
    110.00  7.62e-19
    120.00  9.00e-19
    130.00  1.05e-18
    140.00  1.20e-18
    150.00  1.38e-18
    170.00  1.75e-18
    180.00  1.95e-18
    200.00  2.38e-18
    210.00  2.60e-18
    220.00  2.83e-18
    230.00  3.07e-18
    240.00  3.32e-18
    250.00  3.58e-18
    260.00  3.85e-18
    270.00  4.12e-18
    280.00  4.41e-18
    320.00  5.58e-18
    350.00  6.51e-18
    380.00  7.49e-18
    410.00  8.53e-18
    430.00  9.20e-18
    450.00  9.88e-18
    510.00  1.20e-17
    530.00  1.27e-17
    550.00  1.35e-17
    600.00  1.53e-17
    680.00  1.78e-17
    710.00  1.87e-17
    740.00  1.95e-17
    840.00  2.18e-17
   1000.00  1.00e-20
   1215.0   9.13e-22
   1216.0   1.20e-21
   1223.5   5.98e-21
   1231.0   1.76e-20
   1238.5   4.05e-20
   1246.0   8.11e-20
   1254.0   1.54e-19
   1262.0   2.74e-19
   1270.0   4.58e-19
   1278.0   7.30e-19
   1286.0   1.13e-18
   1294.5   1.72e-18
   1303.0   2.52e-18
   1311.5   3.53e-18
   1320.0   4.78e-18
   1328.5   6.26e-18
   1337.5   8.15e-18
   1346.5   1.03e-17
   1355.5   1.17e-17
   1360.0   1.13e-17
   1374.5   5.12e-18
   1384.0   2.25e-18
   1403.5   4.31e-19
   1418.0   1.58e-19
   1438.0   9.92e-20
   1459.5   1.53e-19
   1481.0   2.28e-19
   1503.5   2.45e-19
   1526.5   1.36e-19
   1550.0   1.43e-22
   1574.5   5.39e-19
   1600.0   3.59e-18
   1626.0   1.85e-17
   1653.0   1.29e-19
   1681.0   2.69e-21
   1709.5   2.71e-21
   1731.5   2.25e-21
   1746.5   1.73e-21
   1762.0   1.10e-21
   1778.0   4.90e-22
   1794.0   8.43e-23
   1810.0   2.78e-23
   1826.5   4.35e-22
   1843.5   1.33e-21
   1860.5   2.47e-21
   1878.0   3.53e-21
   1896.0   4.29e-21
   1914.0   3.91e-21
   1932.5   1.55e-21
   1951.5   5.03e-23
   1970.5   2.75e-25
   3000.00  1.00e-35
  0
***
