       386      0.00   2798.00 nh3      total
lambda=1.a-350a  molecular cross section = sum of atomic cross sections
lambda=374.1a-1306.a  sun, h. and weissler, g. l. (1955)
   j. chem. phys. 23, 1160
lambda=580.a-1650.a  watanabe, k. and sood, s. p. (1965)
   science of light 14, 36
lambda=1650.a-2170.a  watanabe, k. (1954)
   j. chem. phys. 22, 1564
lambda=2140.a-2330.a  thompson, b. a., harteck, p. and reeves, r. r., jr.
   (1963)
   j. geophys. res. 68, 6431

      1.00  1.00e-21
     10.00  4.20e-20
     30.00  7.20e-19
     31.00  3.60e-20
     50.00  1.10e-19
    100.00  6.10e-19
    150.00  1.40e-18
    200.00  2.50e-18
    250.00  4.00e-18
    300.00  6.00e-18
    350.00  8.00e-18
    374.10  2.00e-17
    374.30  1.70e-17
    387.00  1.82e-17
    503.70  2.90e-17
    511.50  2.40e-17
    538.30  2.80e-17
    539.20  2.80e-17
    539.40  2.60e-17
    539.90  3.10e-17
    555.10  2.70e-17
    560.00  3.20e-17
    580.40  3.32e-17
    581.00  3.46e-17
    582.20  3.49e-17
    600.00  3.87e-17
    625.00  4.41e-17
    650.00  4.65e-17
    675.00  4.80e-17
    690.00  5.00e-17
    700.00  5.09e-17
    725.00  4.87e-17
    750.00  4.45e-17
    775.00  3.90e-17
    800.00  3.22e-17
    825.00  3.03e-17
    850.00  2.72e-17
    875.00  2.39e-17
    900.00  2.06e-17
    925.00  1.69e-17
    940.00  1.57e-17
    950.00  1.56e-17
    960.00  1.68e-17
    975.00  1.93e-17
    985.00  2.15e-17
   1000.00  2.32e-17
   1005.00  2.41e-17
   1010.00  2.53e-17
   1014.00  2.46e-17
   1020.00  2.46e-17
   1027.00  2.46e-17
   1030.00  2.42e-17
   1033.00  2.45e-17
   1038.00  2.40e-17
   1040.00  2.52e-17
   1044.00  2.61e-17
   1050.00  2.46e-17
   1056.00  2.33e-17
   1060.00  2.49e-17
   1065.00  2.57e-17
   1070.00  2.58e-17
   1073.00  2.55e-17
   1077.00  2.36e-17
   1080.00  2.28e-17
   1084.00  2.29e-17
   1090.00  2.25e-17
   1093.00  2.28e-17
   1099.00  2.36e-17
   1105.00  2.26e-17
   1108.00  2.41e-17
   1111.00  2.33e-17
   1115.00  2.37e-17
   1120.00  2.16e-17
   1122.00  2.33e-17
   1125.00  2.03e-17
   1127.00  2.10e-17
   1130.00  1.92e-17
   1136.00  2.08e-17
   1140.00  1.84e-17
   1142.00  1.68e-17
   1145.00  1.71e-17
   1150.00  1.90e-17
   1152.00  2.06e-17
   1155.00  1.55e-17
   1157.00  1.46e-17
   1159.00  1.51e-17
   1160.00  1.33e-17
   1165.00  2.20e-17
   1170.00  1.21e-17
   1173.00  1.75e-17
   1176.00  1.36e-17
   1178.00  2.72e-17
   1180.00  2.25e-17
   1185.00  1.15e-17
   1187.00  1.86e-17
   1189.00  1.33e-17
   1190.50  1.30e-17
   1191.50  2.03e-17
   1192.50  2.78e-17
   1193.00  1.57e-17
   1194.00  2.25e-17
   1195.00  1.78e-17
   1196.00  1.82e-17
   1198.00  1.44e-17
   1200.00  9.10e-18
   1202.00  1.88e-17
   1203.50  8.60e-18
   1204.00  1.22e-17
   1205.00  1.22e-17
   1207.50  2.33e-17
   1208.50  1.59e-17
   1210.00  1.39e-17
   1210.50  1.94e-17
   1214.00  7.20e-18
   1215.00  7.20e-18
   1217.00  9.40e-18
   1218.00  2.20e-17
   1219.00  1.03e-17
   1219.99  9.50e-18
   1220.00  9.50e-18
   1221.50  2.19e-17
   1225.00  1.20e-17
   1226.50  1.49e-17
   1229.00  4.50e-18
   1230.00  4.70e-18
   1230.50  6.50e-18
   1231.50  6.30e-18
   1233.50  2.16e-17
   1237.00  8.60e-18
   1238.50  2.87e-17
   1240.00  1.30e-17
   1242.00  1.20e-17
   1244.00  3.20e-18
   1247.00  4.50e-18
   1249.50  2.72e-17
   1252.50  6.30e-18
   1254.00  2.57e-17
   1256.00  1.45e-17
   1260.00  2.20e-18
   1262.00  5.21e-18
   1265.00  2.23e-17
   1268.00  9.50e-18
   1270.00  1.30e-17
   1270.50  2.79e-17
   1271.50  2.75e-17
   1275.00  3.50e-18
   1277.50  3.00e-18
   1280.00  5.20e-18
   1281.00  2.23e-17
   1282.00  1.34e-17
   1283.00  1.23e-17
   1284.00  1.94e-17
   1286.00  9.70e-18
   1287.00  1.53e-17
   1288.00  1.08e-17
   1289.50  3.13e-17
   1294.00  3.70e-18
   1295.00  3.40e-18
   1296.00  5.60e-18
   1297.00  3.60e-18
   1298.00  1.39e-17
   1299.00  8.40e-18
   1300.00  1.60e-17
   1301.00  1.02e-17
   1303.00  1.67e-17
   1305.00  1.04e-17
   1306.00  9.30e-18
   1307.50  3.78e-17
   1310.00  7.10e-18
   1312.00  3.60e-18
   1314.00  7.60e-18
   1314.50  4.80e-18
   1315.00  9.70e-18
   1315.50  5.40e-18
   1316.50  8.40e-18
   1319.50  1.38e-17
   1320.00  1.17e-17
   1320.50  1.30e-17
   1322.50  7.40e-18
   1324.50  5.02e-17
   1328.00  5.20e-18
   1330.00  6.00e-18
   1332.50  2.90e-18
   1335.00  1.27e-17
   1337.50  1.67e-17
   1340.00  8.30e-18
   1341.00  8.10e-18
   1342.50  6.70e-17
   1345.00  1.49e-17
   1346.00  7.40e-18
   1349.00  3.30e-18
   1351.00  4.80e-17
   1354.00  1.34e-17
   1356.00  1.49e-17
   1358.50  6.70e-18
   1359.50  6.70e-18
   1360.50  4.47e-17
   1361.50  4.65e-17
   1363.00  8.70e-18
   1364.00  8.40e-18
   1366.50  3.30e-18
   1368.50  3.30e-18
   1370.00  6.00e-18
   1372.00  6.00e-18
   1372.50  1.08e-17
   1373.50  1.12e-17
   1374.00  1.41e-17
   1377.00  5.20e-18
   1379.00  5.21e-17
   1380.00  2.42e-17
   1384.00  4.80e-18
   1385.00  4.50e-18
   1386.00  2.80e-18
   1389.00  3.20e-18
   1393.00  9.70e-18
   1396.00  3.30e-18
   1397.50  4.47e-17
   1398.50  1.30e-17
   1400.00  9.30e-18
   1401.00  5.20e-18
   1403.00  4.80e-18
   1407.00  2.20e-18
   1410.50  6.00e-18
   1412.00  3.70e-18
   1414.00  2.20e-18
   1415.50  1.86e-17
   1416.50  3.31e-18
   1417.50  2.70e-18
   1420.00  4.10e-18
   1421.00  2.60e-18
   1424.00  1.70e-18
   1425.00  4.10e-18
   1427.00  1.61e-18
   1428.00  2.60e-18
   1431.00  1.50e-18
   1433.00  3.71e-18
   1434.00  4.10e-18
   1437.00  1.50e-18
   1438.00  2.50e-18
   1440.00  1.90e-18
   1441.00  1.50e-18
   1444.00  1.00e-18
   1445.00  3.00e-18
   1446.50  3.70e-18
   1448.50  1.90e-18
   1450.00  1.00e-18
   1453.00  1.30e-18
   1455.00  6.00e-19
   1457.00  1.20e-18
   1463.50  1.20e-18
   1466.00  5.00e-19
   1467.00  6.00e-18
   1468.00  1.90e-18
   1470.00  4.80e-18
   1471.00  1.70e-18
   1472.00  1.70e-18
   1473.50  7.00e-19
   1474.00  1.00e-18
   1475.00  4.00e-19
   1478.00  4.00e-19
   1480.00  1.00e-18
   1482.00  7.00e-19
   1484.00  1.00e-18
   1485.00  7.01e-19
   1486.00  4.00e-19
   1488.00  2.01e-19
   1490.00  4.00e-19
   1491.00  5.50e-18
   1492.00  3.00e-18
   1493.00  4.10e-18
   1496.00  3.50e-19
   1497.00  8.20e-19
   1498.00  3.00e-19
   1500.00  2.80e-19
   1501.00  6.30e-19
   1502.00  1.10e-18
   1504.00  7.40e-19
   1505.00  5.60e-19
   1510.00  1.80e-19
   1513.00  2.20e-19
   1514.00  1.04e-17
   1515.00  6.70e-18
   1516.00  7.41e-18
   1520.00  2.20e-19
   1523.00  8.90e-18
   1524.00  4.10e-18
   1525.00  8.40e-18
   1526.00  3.71e-19
   1528.00  5.20e-19
   1529.00  4.50e-19
   1530.00  4.50e-19
   1534.00  1.91e-19
   1535.00  1.10e-19
   1538.00  7.44e-18
   1539.00  4.84e-18
   1540.00  1.16e-17
   1541.00  2.98e-18
   1543.50  6.30e-19
   1544.00  3.35e-18
   1545.00  3.30e-19
   1546.00  1.49e-18
   1548.00  3.70e-19
   1553.00  3.70e-19
   1558.00  1.10e-19
   1560.00  3.70e-19
   1561.00  1.90e-18
   1562.00  1.00e-17
   1563.00  4.10e-18
   1564.00  6.33e-18
   1565.50  2.98e-18
   1566.00  4.47e-18
   1567.00  7.41e-19
   1567.00  8.20e-19
   1571.00  1.90e-19
   1572.00  3.30e-19
   1573.00  1.90e-19
   1574.00  3.00e-19
   1578.00  2.20e-19
   1580.00  1.30e-19
   1585.00  2.20e-19
   1587.00  6.70e-18
   1588.00  3.72e-18
   1590.00  3.35e-18
   1591.00  1.49e-18
   1595.00  2.60e-19
   1600.00  2.05e-19
   1610.00  3.16e-19
   1611.00  1.75e-18
   1612.00  2.00e-18
   1613.00  3.10e-18
   1614.00  2.08e-18
   1615.00  7.10e-19
   1616.00  7.10e-19
   1620.00  2.70e-19
   1627.00  3.35e-19
   1631.00  4.50e-19
   1636.00  6.30e-19
   1638.00  1.86e-18
   1639.00  9.30e-19
   1640.00  1.45e-18
   1648.00  3.72e-19
   1660.00  1.35e-18
   1670.00  6.60e-19
   1685.00  1.60e-18
   1700.00  9.50e-19
   1715.00  2.80e-18
   1730.00  1.35e-18
   1750.00  4.30e-18
   1765.00  1.80e-18
   1780.00  6.70e-18
   1795.00  2.60e-18
   1810.00  9.80e-18
   1825.00  3.20e-18
   1840.00  1.30e-17
   1855.00  4.00e-18
   1870.00  1.60e-17
   1885.00  4.00e-18
   1905.00  1.60e-17
   1920.00  3.50e-18
   1940.00  2.00e-17
   1955.00  3.00e-18
   1975.00  1.80e-17
   1995.00  1.80e-18
   2015.00  1.60e-17
   2035.00  1.20e-18
