       995      0.00   1910.00 no       total
cross section:
lambda=1.-180.a  cross section synthesized from the atomic cross
   section of n and o
lambda=180.-580.a  lee, l.c., carlson, r. w., judge, d. l., and
   ogawa, m. (1973)
   j. quant. spectrosc. radiat. transfer 13, 1023
lambda=580.-1350.a  watanabe, k., matsunaga, f. m., and sakai, h. (1967)
   appl. opt. 6, 391
lambda=1350.-1910.a  marmo, f. f. (1953)
   j. opt. soc. am. 43, 1186

      1.00  1.10e-22
      5.00  1.57e-20
     10.00  1.10e-19
     12.00  1.81e-19
     14.00  2.90e-19
     15.00  3.40e-19
     16.00  3.90e-19
     17.00  4.60e-19
     18.00  5.30e-19
     19.00  6.00e-19
     20.00  7.10e-19
     21.00  7.80e-19
     22.00  8.90e-19
     26.00  5.78e-19
     28.00  6.96e-19
     30.00  7.74e-19
     35.00  1.24e-19
     40.00  1.73e-19
     45.00  2.25e-19
     50.00  2.90e-19
     60.00  4.60e-19
     70.00  6.90e-19
     80.00  9.90e-19
     90.00  1.41e-18
    100.00  1.84e-18
    110.00  2.33e-18
    120.00  2.86e-18
    130.00  3.40e-18
    150.00  4.51e-18
    200.00  7.70e-18
    250.00  1.10e-17
    300.00  1.38e-17
    350.00  1.63e-17
    400.00  1.82e-17
    450.00  2.10e-17
    500.00  2.29e-17
    550.00  2.40e-17
    584.30  2.31e-17
    596.30  2.57e-17
    601.40  2.38e-17
    615.60  2.42e-17
    616.20  2.41e-17
    622.50  2.31e-17
    632.50  2.08e-17
    642.50  2.16e-17
    652.50  2.16e-17
    661.90  1.94e-17
    672.00  1.82e-17
    681.10  1.86e-17
    682.40  2.05e-17
    683.70  1.79e-17
    684.70  1.94e-17
    685.70  1.79e-17
    686.80  2.27e-17
    687.40  2.34e-17
    688.60  1.86e-17
    690.40  2.38e-17
    691.70  2.01e-17
    692.70  2.20e-17
    694.30  1.82e-17
    695.70  2.87e-17
    696.80  2.12e-17
    697.90  2.31e-17
    699.10  1.86e-17
    699.50  1.90e-17
    699.90  2.01e-17
    700.20  1.94e-17
    700.60  2.01e-17
    701.30  1.86e-17
    702.10  1.90e-17
    703.50  2.16e-17
    704.60  1.94e-17
    706.00  2.75e-17
    707.90  1.97e-17
    708.20  2.16e-17
    708.50  2.05e-17
    709.10  2.27e-17
    710.60  1.64e-17
    711.90  2.05e-17
    712.40  1.94e-17
    713.00  2.12e-17
    713.80  2.05e-17
    714.40  2.20e-17
    716.70  1.56e-17
    717.50  2.08e-17
    718.10  2.23e-17
    718.50  1.94e-17
    718.90  2.27e-17
    719.30  2.31e-17
    719.80  2.20e-17
    720.30  2.49e-17
    721.80  1.79e-17
    722.00  1.82e-17
    722.50  1.64e-17
    723.10  1.79e-17
    723.40  1.86e-17
    723.70  2.20e-17
    724.00  2.31e-17
    724.40  2.34e-17
    725.30  2.42e-17
    725.60  2.68e-17
    726.00  2.72e-17
    726.50  2.87e-17
    727.40  2.23e-17
    727.70  2.23e-17
    728.10  1.94e-17
    729.10  3.39e-17
    729.50  3.05e-17
    729.90  2.90e-17
    730.70  2.20e-17
    731.30  2.23e-17
    731.70  2.75e-17
    732.10  2.57e-17
    732.40  2.57e-17
    734.10  1.60e-17
    734.50  1.53e-17
    734.80  1.56e-17
    735.30  1.82e-17
    735.90  1.90e-17
    736.40  1.67e-17
    736.80  1.64e-17
    737.40  1.79e-17
    737.90  2.53e-17
    738.60  2.72e-17
    740.30  1.45e-17
    741.00  1.41e-17
    741.30  1.64e-17
    741.90  1.86e-17
    742.90  1.67e-17
    743.20  1.75e-17
    743.70  1.64e-17
    744.40  2.27e-17
    744.70  2.20e-17
    745.20  2.57e-17
    745.80  2.05e-17
    746.10  1.97e-17
    747.00  1.49e-17
    747.50  1.45e-17
    747.80  1.43e-17
    748.10  1.79e-17
    748.60  1.67e-17
    749.00  2.01e-17
    749.40  1.71e-17
    749.70  1.64e-17
    750.00  1.56e-17
    750.50  2.16e-17
    750.80  2.05e-17
    751.10  2.08e-17
    751.90  1.53e-17
    752.30  1.94e-17
    752.80  1.90e-17
    753.20  1.67e-17
    753.50  1.79e-17
    754.10  1.18e-17
    754.60  1.90e-17
    755.30  1.41e-17
    755.90  2.61e-17
    756.90  1.41e-17
    757.10  1.41e-17
    757.40  1.38e-17
    757.90  2.64e-17
    758.40  1.45e-17
    758.70  1.38e-17
    759.20  1.19e-17
    759.50  1.41e-17
    759.90  1.38e-17
    760.50  3.28e-17
    761.20  1.27e-17
    761.50  1.45e-17
    761.80  1.19e-17
    762.40  1.38e-17
    762.70  1.38e-17
    763.30  1.30e-17
    763.90  1.41e-17
    764.60  4.24e-17
    765.20  1.49e-17
    765.50  1.86e-17
    766.00  1.49e-17
    766.30  1.56e-17
    766.60  1.15e-17
    766.90  1.19e-17
    767.30  1.06e-17
    767.60  1.05e-17
    768.40  8.90e-18
    768.70  1.06e-17
    769.20  9.68e-18
    770.20  1.86e-17
    770.60  1.47e-17
    771.30  7.03e-17
    772.10  1.32e-17
    772.40  1.56e-17
    772.70  1.32e-17
    773.00  1.45e-17
    773.30  1.27e-17
