      1750      0.00   3978.00 no2      total
 cross section:
 lambda=0.6-940.a  same as hono
 lambda=1080.-1800.a  nakayama, t., kitamura, m. y. and watanabe, k. (1959)
    j. chem. phys. 30, 1180
 lambda=1850.-3978.00a bass, a. m., ledford, a. e. and laufer, a. h. (1976)
    j. res. nbs a phys. chem. 80a, 143
 dissociation limit and energy:
 lambda=3978.a  jones, i. t. n. and bayes, k. d. (1973)
    j. chem. phys. 59, 4863

      0.61  3.80e-23
      1.12  3.70e-22
      2.44  3.00e-21
      6.15  4.60e-20
     12.57  3.40e-19
     22.64  1.90e-18
     23.61  4.90e-19
     24.62  5.40e-19
     29.13  8.20e-19
     30.38  1.50e-19
     62.09  9.00e-19
    121.70  4.10e-18
    248.60  1.50e-17
    625.80  3.90e-17
    915.00  4.50e-17
    940.00  3.00e-17
   1080.00  9.35e-18
   1100.00  1.30e-17
   1120.00  1.19e-17
   1140.00  1.12e-17
   1160.00  7.44e-18
   1180.00  7.82e-18
   1200.00  7.06e-18
   1220.00  1.03e-17
   1240.00  1.77e-17
   1260.00  2.98e-17
   1280.00  2.90e-17
   1300.00  1.34e-17
   1320.00  6.32e-18
   1340.00  1.15e-17
   1360.00  8.56e-18
   1380.00  1.03e-17
   1400.00  1.12e-17
   1420.00  1.30e-17
   1440.00  1.90e-17
   1460.00  1.23e-17
   1480.00  1.04e-17
   1500.00  1.08e-17
   1520.00  2.01e-17
   1540.00  1.54e-17
   1560.00  1.50e-17
   1580.00  1.41e-17
   1600.00  1.48e-17
   1650.00  1.57e-17
   1700.00  1.64e-17
   1750.00  1.04e-17
   1800.00  6.32e-18
   1850.00  2.60e-19
   1851.25  2.57e-19
   1852.50  2.71e-19
   1853.75  2.46e-19
   1855.00  2.46e-19
   1856.25  2.72e-19
   1857.50  2.39e-19
   1858.75  2.65e-19
   1860.00  2.69e-19
   1861.25  2.77e-19
   1862.50  2.78e-19
   1863.75  2.34e-19
   1865.00  2.40e-19
   1866.25  2.71e-19
   1867.50  2.75e-19
   1868.75  2.47e-19
   1870.00  2.61e-19
   1871.25  2.62e-19
   1872.50  2.77e-19
   1873.75  2.60e-19
   1875.00  2.83e-19
   1876.25  2.71e-19
   1877.50  2.54e-19
   1878.75  2.79e-19
   1880.00  2.87e-19
   1881.25  2.86e-19
   1882.50  2.73e-19
   1883.75  2.73e-19
   1885.00  2.65e-19
   1886.25  2.79e-19
   1887.50  2.81e-19
   1888.75  2.77e-19
   1890.00  3.01e-19
   1891.25  2.91e-19
   1892.50  3.01e-19
   1893.75  2.93e-19
   1895.00  2.90e-19
   1896.25  2.87e-19
   1897.50  2.93e-19
   1898.75  2.90e-19
   1900.00  2.93e-19
   1901.25  2.77e-19
   1902.50  2.74e-19
   1903.75  2.60e-19
   1905.00  2.55e-19
   1906.25  2.74e-19
   1907.50  2.74e-19
   1908.75  2.79e-19
   1910.00  2.84e-19
   1911.25  2.57e-19
   1912.50  2.85e-19
   1913.75  2.83e-19
   1915.00  2.83e-19
   1916.25  2.76e-19
   1917.50  2.89e-19
   1918.75  2.60e-19
   1920.00  2.71e-19
   1921.25  2.65e-19
   1922.50  2.47e-19
   1923.75  2.71e-19
   1925.00  2.63e-19
   1926.25  2.71e-19
   1927.50  2.56e-19
   1928.75  2.51e-19
   1930.00  2.50e-19
   1931.25  2.46e-19
   1932.50  2.36e-19
   1933.75  2.65e-19
   1935.00  2.46e-19
   1936.25  2.45e-19
   1937.50  2.49e-19
   1938.75  2.14e-19
   1940.00  2.47e-19
   1941.25  2.53e-19
   1942.50  2.53e-19
   1943.75  2.48e-19
   1945.00  2.68e-19
   1946.25  2.75e-19
   1947.50  2.68e-19
   1948.75  2.64e-19
   1950.00  2.42e-19
   1951.25  2.38e-19
   1952.50  2.44e-19
   1953.75  2.46e-19
   1955.00  2.15e-19
   1956.25  2.23e-19
   1957.50  2.19e-19
   1958.75  2.24e-19
   1960.00  2.36e-19
   1961.25  2.35e-19
   1962.50  2.40e-19
   1963.75  2.29e-19
   1965.00  2.56e-19
   1966.25  2.57e-19
   1967.50  2.41e-19
   1968.75  2.49e-19
   1970.00  2.40e-19
   1971.25  2.52e-19
   1972.50  2.46e-19
   1973.75  2.40e-19
   1975.00  2.46e-19
   1976.25  2.61e-19
   1977.50  2.49e-19
   1978.75  2.47e-19
   1980.00  2.46e-19
   1981.25  2.67e-19
   1982.50  2.52e-19
   1983.75  2.49e-19
   1985.00  2.56e-19
   1986.25  2.46e-19
   1987.50  2.51e-19
   1988.75  2.35e-19
   1990.00  2.36e-19
   1991.25  2.41e-19
   1992.50  2.45e-19
   1993.75  2.27e-19
   1995.00  2.49e-19
   1996.25  2.28e-19
   1997.50  2.57e-19
   1998.75  2.50e-19
   2000.00  2.50e-19
   2001.25  2.71e-19
   2002.50  2.70e-19
   2003.75  2.62e-19
   2005.00  2.68e-19
   2006.25  2.85e-19
   2007.50  2.96e-19
   2008.75  2.89e-19
   2010.00  2.88e-19
   2011.25  2.99e-19
   2012.50  2.91e-19
   2013.75  3.01e-19
   2015.00  2.73e-19
   2016.25  2.82e-19
   2017.50  2.90e-19
   2018.75  2.87e-19
   2020.00  2.87e-19
   2021.25  2.58e-19
   2022.50  2.67e-19
   2023.75  2.77e-19
   2025.00  2.77e-19
   2026.25  2.75e-19
   2027.50  2.79e-19
   2028.75  2.91e-19
   2030.00  2.82e-19
   2031.25  2.79e-19
   2032.50  2.91e-19
   2033.75  2.91e-19
   2035.00  3.13e-19
   2036.25  3.20e-19
   2037.50  3.07e-19
   2038.75  3.10e-19
   2040.00  3.43e-19
   2041.25  3.44e-19
   2042.50  3.51e-19
   2043.75  3.45e-19
   2045.00  3.54e-19
   2046.25  3.60e-19
   2047.50  3.63e-19
   2048.75  3.60e-19
   2050.00  3.75e-19
   2051.25  3.64e-19
   2052.50  3.77e-19
   2053.75  3.70e-19
   2055.00  3.47e-19
   2056.25  3.50e-19
   2057.50  3.40e-19
   2058.75  3.33e-19
   2060.00  3.34e-19
   2061.25  3.40e-19
   2062.50  3.45e-19
   2063.75  3.40e-19
   2065.00  3.34e-19
   2066.25  3.39e-19
   2067.50  3.34e-19
   2068.75  3.54e-19
   2070.00  3.43e-19
   2071.25  3.51e-19
   2072.50  3.62e-19
   2073.75  3.65e-19
   2075.00  3.80e-19
   2076.25  3.89e-19
   2077.50  3.88e-19
   2078.75  4.09e-19
   2080.00  4.22e-19
   2081.25  4.54e-19
   2082.50  4.40e-19
   2083.75  4.50e-19
   2085.00  4.51e-19
   2086.25  4.42e-19
   2087.50  4.33e-19
   2088.75  4.30e-19
   2090.00  4.27e-19
   2091.25  4.27e-19
   2092.50  4.25e-19
   2093.75  4.15e-19
   2095.00  4.10e-19
   2096.25  3.92e-19
   2097.50  4.00e-19
   2098.75  4.04e-19
   2100.00  3.85e-19
   2101.25  3.79e-19
   2102.50  3.70e-19
   2103.75  3.67e-19
   2105.00  3.74e-19
   2106.25  3.79e-19
   2107.50  3.78e-19
   2108.75  3.79e-19
   2110.00  3.94e-19
   2111.25  4.06e-19
   2112.50  4.04e-19
   2113.75  4.13e-19
   2115.00  4.25e-19
   2116.25  4.43e-19
   2117.50  4.43e-19
   2118.75  4.55e-19
   2120.00  4.59e-19
   2121.25  4.65e-19
   2122.50  4.71e-19
   2123.75  4.78e-19
   2125.00  4.88e-19
   2126.25  5.01e-19
   2127.50  5.07e-19
   2128.75  5.00e-19
   2130.00  4.91e-19
   2131.25  4.77e-19
   2132.50  4.62e-19
   2133.75  4.57e-19
   2135.00  4.55e-19
   2136.25  4.55e-19
   2137.50  4.51e-19
   2138.75  4.38e-19
   2140.00  4.26e-19
   2141.25  4.28e-19
   2142.50  4.18e-19
   2143.75  4.21e-19
   2145.00  4.22e-19
   2146.25  4.30e-19
   2147.50  4.26e-19
   2148.75  4.25e-19
   2150.00  4.02e-19
   2151.25  3.97e-19
   2152.50  4.11e-19
   2153.75  3.97e-19
   2155.00  3.99e-19
   2156.25  4.13e-19
   2157.50  4.25e-19
   2158.75  4.54e-19
   2160.00  4.64e-19
   2161.25  4.76e-19
   2162.50  4.79e-19
   2163.75  4.86e-19
   2165.00  4.84e-19
   2166.25  4.87e-19
   2167.50  4.98e-19
   2168.75  4.98e-19
   2170.00  4.99e-19
   2171.25  5.00e-19
   2172.50  4.95e-19
   2173.75  4.84e-19
   2175.00  4.71e-19
   2176.25  4.71e-19
   2177.50  4.54e-19
   2178.75  4.45e-19
   2180.00  4.37e-19
   2181.25  4.17e-19
   2182.50  4.21e-19
   2183.75  4.20e-19
   2185.00  4.16e-19
   2186.25  4.27e-19
   2187.50  4.18e-19
   2188.75  4.16e-19
   2190.00  3.92e-19
   2191.25  3.85e-19
   2192.50  3.89e-19
   2193.75  3.79e-19
   2195.00  3.70e-19
   2196.25  3.78e-19
   2197.50  3.82e-19
   2198.75  3.91e-19
   2200.00  3.96e-19
   2201.25  4.09e-19
   2202.50  4.03e-19
