       167      0.00  11790.00 o3       total
 threshold:
 lambda=11790.a
 cross section:
 lambda=0.6-742.a  3 times atomic oxygen
    barfield et al.
 lambda=1060.-1360.a  tanaka, y., inn, e. c. y., and watanabe, k. (1953)
    j. chem. phys. 21, 1651
 lambda=1365.-2000.a  ackerman, m. (1971)
    mesospheric models and related experiments, 149-159, d. reidel pub.
 lambda=2975.-3300.a  moortgat, g. k. and warneck, p. (1975)
    z. naturforsch. 30a, 835-844
 lambda=2000.-8500.a  griggs, m. (1968)
    j. chem. phys. 49, 857

      0.61  4.50e-23
      1.12  4.30e-22
      2.44  3.50e-21
      6.15  5.30e-20
     12.57  3.90e-19
     22.64  1.70e-18
     23.61  9.50e-20
     24.62  1.10e-19
     62.10  1.00e-18
    121.70  4.80e-18
    248.60  1.60e-17
    625.80  3.40e-17
    741.50  3.60e-17
   1060.00  8.56e-18
   1070.00  8.18e-18
   1080.00  1.00e-17
   1090.00  9.67e-18
   1100.00  8.93e-18
   1110.00  9.67e-18
   1120.00  1.38e-17
   1130.00  1.26e-17
   1140.00  7.07e-18
   1150.00  7.07e-18
   1160.00  5.58e-18
   1170.00  8.00e-18
   1180.00  7.63e-18
   1190.00  9.30e-18
   1200.00  1.49e-17
   1210.00  2.12e-17
   1220.00  2.27e-17
   1230.00  2.05e-17
   1240.00  1.12e-17
   1250.00  8.18e-18
   1260.00  6.70e-18
   1270.00  5.58e-18
   1280.00  6.32e-18
   1290.00  7.25e-18
   1300.00  9.30e-18
   1310.00  1.56e-17
   1320.00  1.53e-17
   1330.00  1.53e-17
   1340.00  1.75e-17
   1350.00  1.71e-17
   1360.00  1.49e-17
   1365.00  1.35e-17
   1374.50  1.05e-17
   1384.00  7.97e-18
   1398.50  7.17e-18
   1418.00  6.28e-18
   1438.50  5.66e-18
   1459.50  5.23e-18
   1481.00  4.47e-18
   1503.50  3.69e-18
   1526.50  2.93e-18
   1550.00  2.19e-18
   1574.50  1.63e-18
   1600.00  1.20e-18
   1626.00  9.77e-19
   1653.00  8.66e-19
   1681.00  8.14e-19
   1709.50  8.17e-19
