       138      0.00   4960.00 oclo     total
 cross section:
 lambda=1.-1450.a  same as clno
 lambda=1470.-1850.a  basco, n. and morse, r. d. (1974)
    proc. r. soc. lond., a.336, 495-505
 lambda=2980.-4225.a  birks, j. w., shoemaker, b., leck t. j.,
    borders, r. a., and hart, l. j. (1977)
    j. chem. phys., 66, 4591-4599
 lambda=4404.-4758.a  coon, j. b., dewames, r. e., and loyd, c. m. (1962)
    j. mol. spect., 8, 285-299

      1.00  3.47e-21
      5.00  2.56e-20
     12.00  3.52e-19
     26.00  1.50e-18
     45.00  3.17e-18
     60.00  7.95e-19
    120.00  3.75e-18
    200.00  8.76e-18
    250.00  1.19e-17
    300.00  1.45e-17
    350.00  1.72e-17
    400.00  2.02e-17
    450.00  2.62e-17
    500.00  3.53e-17
    550.00  4.35e-17
    622.50  5.56e-17
    841.50  6.32e-17
    877.90  6.99e-17
   1150.00  3.74e-17
   1200.00  3.41e-17
   1250.00  3.25e-17
   1300.00  2.07e-17
   1350.00  2.64e-17
   1400.00  3.98e-17
   1450.00  3.00e-17
   1470.00  9.55e-19
   1480.00  1.53e-18
   1490.00  2.29e-18
   1500.00  3.82e-18
   1510.00  4.97e-18
   1516.00  9.17e-18
   1520.00  4.58e-18
   1527.00  9.74e-18
   1530.00  4.39e-18
   1540.00  1.15e-17
   1550.00  3.82e-18
   1560.00  3.63e-18
   1570.00  5.16e-18
   1580.00  3.82e-18
   1590.00  3.44e-18
   1598.00  1.01e-17
   1600.00  7.64e-18
   1610.00  3.25e-18
   1620.00  3.25e-18
   1627.00  1.43e-17
   1630.00  7.64e-18
   1640.00  2.67e-18
   1650.00  2.10e-18
   1667.00  1.34e-18
   1720.00  6.69e-19
   1730.00  6.88e-19
   1740.00  7.07e-19
   1750.00  7.26e-19
   1760.00  9.17e-19
   1770.00  5.92e-19
   1780.00  6.11e-19
   1790.00  1.28e-18
   1794.00  2.06e-18
   1800.00  3.82e-19
   1810.00  2.67e-19
   1820.00  4.20e-19
   1829.00  3.57e-18
   1830.00  3.44e-18
   1840.00  1.34e-19
   1850.00  1.91e-20
   2759.00  8.40e-20
   2760.00  8.40e-20
   2980.00  1.00e-19
   3010.00  1.40e-18
   3040.00  1.00e-19
   3060.00  2.90e-18
   3090.00  1.00e-19
   3110.00  4.50e-19
   3150.00  1.00e-19
   3170.00  6.60e-18
   3200.00  1.00e-19
   3220.00  8.70e-18
   3270.00  4.00e-19
   3295.00  1.12e-17
   3330.00  5.00e-19
   3360.00  1.31e-17
   3400.00  6.00e-19
   3440.00  1.45e-17
   3480.00  7.00e-19
   3485.00  2.10e-18
   3495.00  5.00e-18
   3515.00  1.50e-17
   3550.00  1.00e-18
   3560.00  3.00e-18
   3580.00  6.00e-18
   3595.00  1.45e-17
   3640.00  1.20e-18
   3650.00  3.00e-18
   3665.00  6.30e-18
   3680.00  1.35e-17
   3730.00  7.00e-19
   3740.00  3.30e-18
   3748.00  2.00e-18
   3753.00  5.70e-18
   3760.00  3.30e-18
   3775.00  1.15e-17
   3810.00  1.20e-18
   3820.00  4.00e-19
   3830.00  3.00e-18
   3838.00  1.80e-18
   3845.00  4.50e-18
   3856.00  2.00e-18
   3872.00  9.50e-18
   3915.00  9.00e-19
   3925.00  2.00e-19
   3935.00  3.00e-18
   3945.00  1.40e-18
   3955.00  3.30e-18
   3965.00  9.00e-19
   3975.00  7.50e-18
   4000.00  1.00e-19
   4010.00  4.00e-19
   4020.00  1.00e-19
   4030.00  2.00e-18
   4045.00  8.00e-19
   4055.00  1.50e-18
   4065.00  2.00e-19
   4075.00  5.00e-18
   4110.00  1.00e-19
   4120.00  2.00e-19
   4130.00  1.00e-19
   4150.00  1.10e-18
   4160.00  3.00e-19
   4180.00  2.00e-19
   4200.00  3.00e-18
   4225.00  1.00e-19
   4404.06  2.65e-19
   4459.21  3.40e-19
   4543.41  5.77e-20
   4603.14  7.37e-20
   4693.56  8.02e-21
   4758.19  9.40e-21
   4960.00  1.00e-35
  1
         4      0.00   4960.00 oclo     clodo       26

      1.00  0.00e 00
   2759.00  0.00e 00
   2760.00  1.00e 00
   4960.00  1.00e 00
         0      0.00   2760.00 oclo     clodo1d     26
***
