       254      0.00   3990.   ocs      total
 cross section:
 lambda=1.-122.a  combination of atomic cross sections
    barfield et al.
 lambda=248.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d. and
    brion, c. e. (1982)
    chem. phys. 66, 249
 lambda=1060.-1240.a  lee, l. c. and chiang, c. c. (1982)
    chem. phys. lett. 92, 425
 lambda=1240.-1700.a  matsunaga, f. m. and watanabe, k. (1967)
    j. chem. phys. 46, 4457
 lambda=1850.-3000.a  molina, l. t., lamb, j. j. and molina, m. j. (1981)
    geophys. res. lett. 8, 1008

      0.61  3.30e-22
      1.12  2.80e-21
      2.44  1.90e-20
      4.98  1.30e-19
      5.20  2.50e-20
      6.15  4.30e-20
     12.57  3.00e-19
     22.64  8.50e-19
     23.61  7.00e-19
     24.62  7.70e-19
     50.30  3.80e-18
     52.50  3.50e-18
     62.10  5.00e-18
     67.50  5.80e-18
     70.50  3.00e-18
     73.50  1.00e-18
    121.70  2.80e-18
    248.00  9.75e-20
    253.00  8.20e-20
    258.00  9.20e-20
    264.00  1.00e-19
    270.00  1.02e-19
    276.00  9.38e-20
    282.00  9.93e-20
    288.00  9.66e-20
    295.00  1.10e-19
    302.00  1.05e-19
    310.00  1.08e-19
    318.00  1.12e-19
    326.00  1.10e-19
    335.00  1.14e-19
    344.00  1.20e-19
    354.00  1.28e-19
    365.00  1.33e-19
    376.00  1.43e-19
    387.00  1.46e-19
    400.00  1.59e-19
    413.00  1.67e-19
    428.00  1.81e-19
    443.00  1.93e-19
    459.00  2.05e-19
    477.00  2.21e-19
    496.00  2.38e-19
    517.00  2.49e-19
    539.00  2.71e-19
    564.00  2.96e-19
    590.00  3.17e-19
    620.00  3.53e-19
    653.00  4.01e-19
    654.00  4.00e-19
    689.00  3.91e-19
    729.00  3.54e-19
    775.00  3.03e-19
    827.00  3.70e-19
    886.00  5.17e-19
    907.00  5.00e-19
    954.00  4.87e-19
   1060.00  2.88e-17
   1070.00  2.90e-17
   1080.00  2.88e-17
   1090.00  2.88e-17
   1100.00  2.52e-17
   1110.00  2.45e-17
   1120.00  2.25e-17
   1130.00  2.20e-17
   1137.00  2.70e-17
   1140.00  1.75e-17
   1145.00  2.55e-17
   1148.00  1.50e-17
   1150.00  2.60e-17
   1158.00  1.70e-17
   1164.00  3.50e-17
   1168.00  1.75e-17
   1171.00  2.35e-17
   1172.00  1.35e-17
   1180.00  1.80e-17
   1185.00  1.35e-17
   1190.00  2.20e-17
   1192.00  1.70e-17
   1200.00  3.15e-17
   1207.00  1.65e-17
   1210.00  2.50e-17
   1214.00  7.50e-18
   1220.00  1.30e-17
   1230.00  1.70e-17
   1240.00  7.00e-18
   1245.00  2.98e-18
   1250.00  3.42e-17
   1255.00  4.84e-18
   1261.00  3.16e-17
   1267.00  6.32e-18
   1270.00  4.65e-17
   1277.00  7.25e-18
   1284.00  2.19e-16
   1290.00  8.18e-18
   1295.00  3.16e-16
   1306.00  6.70e-18
   1308.00  3.35e-17
   1314.00  6.77e-18
   1322.00  3.72e-17
   1328.00  4.84e-18
   1332.00  1.00e-16
   1342.00  4.84e-18
   1346.00  1.23e-16
   1354.00  4.84e-18
   1359.00  1.45e-16
   1368.00  3.53e-18
   1372.00  1.08e-16
   1380.00  1.86e-18
   1384.00  9.30e-17
   1392.00  2.42e-18
   1400.00  3.35e-16
   1408.00  1.75e-18
   1410.00  5.58e-17
   1420.00  2.16e-18
   1430.00  1.23e-17
   1434.00  4.84e-18
   1440.00  2.23e-17
   1450.00  7.63e-18
   1455.00  6.70e-17
   1465.00  2.05e-17
   1472.00  1.38e-16
   1482.00  2.33e-17
   1490.00  2.51e-16
   1501.00  3.35e-17
   1506.00  2.79e-16
   1512.00  4.46e-17
   1522.00  3.53e-16
   1535.00  5.58e-17
   1546.00  3.39e-16
   1555.00  7.44e-17
   1570.00  1.12e-16
   1575.00  6.32e-17
   1600.00  1.86e-17
   1625.00  1.49e-17
   1650.00  2.23e-17
   1675.00  2.79e-17
   1700.00  2.49e-17
   1820.00  7.00e-19
   1821.00  7.00e-19
   1850.00  2.12e-20
   1860.00  1.25e-19
   1870.00  7.02e-20
   1880.00  5.09e-20
   1890.00  2.76e-20
   1900.00  2.35e-20
   1910.00  1.62e-20
   1920.00  1.58e-20
   1930.00  1.49e-20
   1940.00  1.64e-20
   1950.00  1.81e-20
   1960.00  2.10e-20
   1970.00  2.42e-20
   1980.00  2.82e-20
   1990.00  3.30e-20
   2000.00  3.83e-20
   2010.00  4.57e-20
   2020.00  5.15e-20
   2030.00  6.21e-20
   2040.00  7.06e-20
   2050.00  8.02e-20
   2060.00  9.48e-20
   2070.00  1.05e-19
   2080.00  1.21e-19
   2090.00  1.35e-19
