        29      0.00   3650.   ph3      ph2dh       26
 cross section:
 lambda=1950.-2350.a  kley, d. and welge, k. h. (1965)
    z. naturforschg. 20 a, 124-131

      0.61  2.40e-22
      1.24  2.00e-21
      2.44  1.40e-20
      5.65  1.30e-19
      5.90  1.30e-20
      6.15  1.40e-20
     12.57  9.90e-20
     24.62  5.50e-19
     62.09  4.30e-18
     64.70  4.00e-18
     79.90  5.30e-18
     83.30  5.10e-18
     86.90  2.90e-18
     90.60  2.80e-19
    121.70  4.50e-19
    238.30  1.00e-18
    248.60  1.20e-18
    626.80  1.00e-17
    877.00  2.00e-17
   1950.00  3.25e-18
   2000.00  2.03e-18
   2050.00  4.06e-19
   2100.00  1.22e-19
   2150.00  2.84e-20
   2200.00  8.12e-21
   2250.00  2.84e-21
   2300.00  1.62e-21
   2350.00  8.12e-22
   3650.00  1.00e-26
  0
***
