       117      0.00   1121.43 s1d      s1di         2
 cross section:
 lambda=0.00-74.a  barfield, w. d., koontz, g. d., huebner, w. f. (1972)
    j. quant. spetrosc. radiat. transfer 12, 1409
 lambda=100.-1120.a  chapman, r. d. and henry, r. j. w. (1971)
    astrophys. j. 168, 169
 threshold:
 lambda=1121.43  moore c. e. (1970)
    ionization potentials and ionization limits derived from the
    analyses of optical spectra, nsrds-nbs 34

      0.61  3.13e-22
      1.24  2.65e-21
      2.44  1.79e-20
      4.98  1.18e-19
      5.20  1.20e-20
      6.15  1.91e-20
     12.57  1.31e-19
     24.62  7.33e-19
     50.32  3.48e-18
     52.47  3.31e-18
     62.09  4.41e-18
     67.53  5.19e-18
     70.45  2.45e-18
     73.45  1.78e-19
    100.00  6.77e-19
    110.00  8.13e-19
    120.00  9.64e-19
    130.00  1.13e-18
    140.00  1.31e-18
    150.00  1.50e-18
    160.00  1.70e-18
    170.00  1.92e-18
    180.00  2.16e-18
    190.00  2.41e-18
    200.00  2.67e-18
    210.00  2.95e-18
    220.00  3.24e-18
    230.00  3.55e-18
    240.00  3.87e-18
    250.00  4.20e-18
    260.00  4.55e-18
    270.00  4.91e-18
    280.00  5.29e-18
    290.00  5.68e-18
    300.00  6.08e-18
    310.00  6.49e-18
    320.00  6.92e-18
    330.00  7.36e-18
    340.00  7.82e-18
    350.00  8.28e-18
    360.00  8.76e-18
    370.00  9.24e-18
    380.00  9.74e-18
    390.00  1.02e-17
    400.00  1.08e-17
    410.00  1.13e-17
    420.00  1.18e-17
    430.00  1.24e-17
    440.00  1.29e-17
    450.00  1.35e-17
    460.00  1.41e-17
    470.00  1.46e-17
    480.00  1.52e-17
    490.00  1.58e-17
    500.00  1.64e-17
    510.00  1.70e-17
    520.00  1.76e-17
    530.00  1.82e-17
    540.00  1.88e-17
    550.00  1.94e-17
    560.00  2.00e-17
    570.00  2.06e-17
    580.00  2.12e-17
    590.00  2.18e-17
    600.00  2.24e-17
    610.00  2.30e-17
    620.00  2.35e-17
    630.00  2.41e-17
    640.00  2.47e-17
    650.00  2.53e-17
    660.00  2.58e-17
    670.00  2.64e-17
    680.00  2.69e-17
    690.00  2.75e-17
    700.00  2.80e-17
    710.00  2.85e-17
    720.00  2.90e-17
    730.00  2.95e-17
    740.00  3.00e-17
    750.00  3.04e-17
    760.00  3.08e-17
    770.00  3.13e-17
    780.00  3.17e-17
    790.00  3.20e-17
    800.00  3.24e-17
    810.00  3.27e-17
    820.00  3.30e-17
    830.00  3.33e-17
    840.00  3.35e-17
    850.00  3.38e-17
    860.00  3.40e-17
    870.00  3.41e-17
    880.00  3.43e-17
    890.00  3.44e-17
    900.00  3.44e-17
    910.00  3.45e-17
    920.00  3.45e-17
    930.00  3.44e-17
    940.00  3.43e-17
    950.00  3.42e-17
    960.00  3.40e-17
    970.00  3.38e-17
    980.00  3.36e-17
    990.00  3.33e-17
   1000.00  3.29e-17
   1010.00  3.25e-17
   1020.00  2.44e-17
   1030.00  2.42e-17
   1040.00  2.40e-17
   1050.00  2.37e-17
   1060.00  2.35e-17
   1070.00  2.31e-17
   1080.00  2.28e-17
   1090.00  2.24e-17
   1100.00  2.20e-17
   1110.00  2.15e-17
   1120.00  2.11e-17
  0
***
