       112      0.00   1164.12 s1s      s1si         2
 cross section:
 lambda=0.00-122.a  barfield, w. d., koontz, g. d., huebner, w. f. (1972)
    j. quant. spetrosc. radiat. transfer 12, 1409
 lambda=200.-1160.a  chapman, r. d. and henry, r. j. w. (1971)
    astrophys. j. 168, 169
 threshold:
 lambda=1164.12  moore c. e. (1970)
    ionization potentials and ionization limits derived from the
    analyses of optical spectra, nsrds-nbs 34

      0.61  3.13e-22
      1.24  2.65e-21
      2.44  1.79e-20
      4.98  1.18e-19
      5.20  1.20e-20
      6.15  1.91e-20
     12.57  1.31e-19
     24.62  7.33e-19
     50.32  3.48e-18
     52.47  3.31e-18
     62.09  4.41e-18
     67.53  5.19e-18
     70.45  2.45e-18
     73.45  1.23e-19
    121.67  2.61e-19
    200.00  9.08e-19
    210.00  1.19e-18
    220.00  1.49e-18
    230.00  1.81e-18
    240.00  2.14e-18
    250.00  2.49e-18
    260.00  2.86e-18
    270.00  3.24e-18
    280.00  3.63e-18
    290.00  4.04e-18
    300.00  4.46e-18
    310.00  4.90e-18
    320.00  5.34e-18
    330.00  5.80e-18
    340.00  6.27e-18
    350.00  6.75e-18
    360.00  7.24e-18
    370.00  7.73e-18
    380.00  8.24e-18
    390.00  8.75e-18
    400.00  9.27e-18
    410.00  9.80e-18
    420.00  1.03e-17
    430.00  1.09e-17
    440.00  1.14e-17
    450.00  1.20e-17
    460.00  1.25e-17
    470.00  1.31e-17
    480.00  1.36e-17
    490.00  1.42e-17
    500.00  1.47e-17
    510.00  1.53e-17
    520.00  1.58e-17
    530.00  1.64e-17
    540.00  1.69e-17
    550.00  1.75e-17
    560.00  1.80e-17
    570.00  1.86e-17
    580.00  1.91e-17
    590.00  1.97e-17
    600.00  2.02e-17
    610.00  2.07e-17
    620.00  2.13e-17
    630.00  2.18e-17
    640.00  2.23e-17
    650.00  2.28e-17
    660.00  2.33e-17
    670.00  2.37e-17
    680.00  2.42e-17
    690.00  2.47e-17
    700.00  2.51e-17
    710.00  2.55e-17
    720.00  2.60e-17
    730.00  2.64e-17
    740.00  2.68e-17
    750.00  2.71e-17
    760.00  2.75e-17
    770.00  2.79e-17
    780.00  2.82e-17
    790.00  2.85e-17
    800.00  2.88e-17
    810.00  2.91e-17
    820.00  2.94e-17
    830.00  2.96e-17
    840.00  2.98e-17
    850.00  3.00e-17
    860.00  3.02e-17
    870.00  3.04e-17
    880.00  3.05e-17
    890.00  3.06e-17
    900.00  3.07e-17
    910.00  3.08e-17
    920.00  3.08e-17
    930.00  3.09e-17
    940.00  3.09e-17
    950.00  3.08e-17
    960.00  3.08e-17
    970.00  3.07e-17
    980.00  3.05e-17
    990.00  3.04e-17
   1000.00  3.02e-17
   1010.00  3.00e-17
   1020.00  2.98e-17
   1030.00  2.95e-17
   1040.00  2.92e-17
   1050.00  2.89e-17
   1060.00  2.85e-17
   1070.00  2.81e-17
   1080.00  2.77e-17
   1090.00  2.72e-17
   1100.00  2.67e-17
   1110.00  2.62e-17
   1120.00  2.56e-17
   1130.00  2.50e-17
   1140.00  2.43e-17
   1150.00  2.36e-17
   1160.00  2.29e-17
  0
***
