       119      0.00   1196.75 s3p      s3pi      9  2
 cross section:
 lambda=0.00-122.a  barfield, w. d., koontz, g. d., huebner, w. f. (1972)
    j. quant. spetrosc. radiat. transfer 12, 1409
 lambda=160.-1190.a  chapman, r. d. and henry, r. j. w. (1971)
    astrophys. j. 168, 169
 threshold:
 lambda=1196.75  moore c. e. (1970)
    ionization potentials and ionization limits derived from the
    analyses of optical spectra, nsrds-nbs 34

      0.61  3.13e-22
      1.24  2.65e-21
      2.44  1.79e-20
      4.98  1.18e-19
      5.20  1.20e-20
      6.15  1.91e-20
     12.57  1.31e-19
     24.62  7.33e-19
     50.32  3.48e-18
     52.47  3.31e-18
     62.09  4.41e-18
     67.53  5.19e-18
     70.45  2.45e-18
     73.45  2.33e-19
    121.67  5.02e-19
    160.00  7.62e-19
    170.00  9.07e-19
    180.00  1.07e-18
    190.00  1.25e-18
    200.00  1.44e-18
    210.00  1.66e-18
    220.00  1.89e-18
    230.00  2.14e-18
    240.00  2.41e-18
    250.00  2.70e-18
    260.00  3.01e-18
    270.00  3.34e-18
    280.00  3.70e-18
    290.00  4.07e-18
    300.00  4.46e-18
    310.00  4.87e-18
    320.00  5.31e-18
    330.00  5.76e-18
    340.00  6.24e-18
    350.00  6.74e-18
    360.00  7.26e-18
    370.00  7.79e-18
    380.00  8.35e-18
    390.00  8.93e-18
    400.00  9.53e-18
    410.00  1.01e-17
    420.00  1.08e-17
    430.00  1.14e-17
    440.00  1.21e-17
    450.00  1.28e-17
    460.00  1.35e-17
    470.00  1.42e-17
    480.00  1.50e-17
    490.00  1.57e-17
    500.00  1.65e-17
    510.00  1.73e-17
    520.00  1.81e-17
    530.00  1.89e-17
    540.00  1.97e-17
    550.00  2.05e-17
    560.00  2.13e-17
    570.00  2.22e-17
    580.00  2.30e-17
    590.00  2.39e-17
    600.00  2.47e-17
    610.00  2.56e-17
    620.00  2.64e-17
    630.00  2.73e-17
    640.00  2.82e-17
    650.00  2.90e-17
    660.00  2.99e-17
    670.00  3.07e-17
    680.00  3.16e-17
    690.00  3.24e-17
    700.00  3.32e-17
    710.00  3.40e-17
    720.00  3.48e-17
    730.00  3.56e-17
    740.00  3.64e-17
    750.00  3.71e-17
    760.00  3.78e-17
    770.00  3.86e-17
    780.00  3.92e-17
    790.00  3.99e-17
    800.00  4.05e-17
    810.00  4.11e-17
    820.00  4.17e-17
    830.00  4.22e-17
    840.00  4.27e-17
    850.00  4.32e-17
    860.00  4.36e-17
    870.00  4.40e-17
    880.00  4.43e-17
    890.00  4.46e-17
    900.00  4.49e-17
    910.00  4.51e-17
    920.00  4.52e-17
    930.00  3.26e-17
    940.00  3.26e-17
    950.00  3.26e-17
    960.00  3.25e-17
    970.00  3.24e-17
    980.00  3.23e-17
    990.00  3.21e-17
   1000.00  3.19e-17
   1010.00  3.17e-17
   1020.00  1.24e-17
   1030.00  1.23e-17
   1040.00  1.22e-17
   1050.00  1.21e-17
   1060.00  1.21e-17
   1070.00  1.20e-17
   1080.00  1.20e-17
   1090.00  1.19e-17
   1100.00  1.19e-17
   1110.00  1.19e-17
   1120.00  1.19e-17
   1130.00  1.19e-17
   1140.00  1.19e-17
   1150.00  1.20e-17
   1160.00  1.21e-17
   1170.00  1.22e-17
   1180.00  1.23e-17
   1190.00  1.25e-17
  0
***
