        79      0.00   2314.00 so       total
 cross section:
 lambda=0.61-800.a  barfield et al. (s + o)
 lambda=1900.-2314.a  phillips, l. f. (1981)
    j. phys. chem. 85, 3994
 threshold: huber and herzberg

      0.61  3.25e-22
      1.24  2.76e-21
      2.44  1.88e-20
      6.15  3.72e-20
     12.57  2.61e-19
     23.61  6.68e-19
     24.62  7.65e-19
     62.09  4.75e-18
     67.53  5.62e-18
     70.45  2.93e-18
     73.45  8.37e-19
    121.70  2.29e-18
    200.00  6.00e-18
    300.00  6.00e-18
    400.00  1.20e-17
    500.00  2.00e-17
    600.00  3.70e-17
    700.00  3.90e-17
    800.00  2.00e-17
   1205.00  1.55e-17
   1206.00  1.55e-17
   1900.00  8.00e-18
   1910.00  1.05e-17
   1920.00  1.10e-17
   1925.00  1.35e-17
   1930.00  1.40e-17
   1935.00  8.00e-18
   1940.00  1.45e-17
   1942.50  8.50e-18
   1945.00  1.25e-17
   1947.50  9.00e-18
   1950.00  1.60e-17
   1955.00  1.10e-17
   1957.50  1.65e-17
   1960.00  1.05e-17
   1962.50  1.55e-17
   1967.50  1.20e-17
   1970.00  1.80e-17
   1975.00  1.10e-17
   1977.50  1.90e-17
   1982.50  1.20e-17
   1985.00  1.90e-17
   1995.00  8.00e-18
   2000.00  2.73e-17
   2007.00  1.10e-17
   2014.00  6.00e-18
   2020.00  2.76e-17
   2030.00  6.20e-18
   2036.00  5.50e-18
   2042.00  2.74e-17
   2045.00  5.00e-18
   2050.00  3.50e-18
   2052.00  2.74e-17
   2065.00  3.50e-18
   2072.00  2.60e-18
   2075.00  2.70e-17
   2085.00  4.00e-18
   2095.00  2.00e-18
   2098.00  2.25e-17
   2115.00  1.00e-18
   2122.00  6.20e-18
   2125.00  2.10e-17
   2135.00  2.40e-18
   2140.00  1.50e-18
   2145.00  1.78e-17
   2150.00  6.00e-18
   2165.00  1.00e-18
   2170.00  1.25e-17
   2190.00  1.00e-18
   2197.00  1.00e-18
   2200.00  8.00e-18
   2215.00  1.00e-24
   2230.00  5.20e-18
   2245.00  1.00e-24
   2260.00  2.00e-18
   2275.00  1.00e-24
   2285.00  1.00e-18
   2300.00  1.00e-24
   2314.00  1.00e-24
  1
         4      0.00   2314.00 so       sdo         26

      0.00  0.00e 00
   1205.00  0.00e 00
   1206.00  1.00e 00
   2314.00  1.00e 00
         0      0.00   1205.00 so       soi          2
***
