       786      0.00   2399.00 so2      total
 cross section:
 lambda=0.00-122.a  barfield et al.
 lambda=170.-830.a  wu, c. y. r. and judge, d. l. (1981)
    j. chem. phys. 74, 3804
 lambda=1065.-1710.a  golomb, d., watanabe, k., and marmo, f. f. (1962)
    j. chem. phys. 36, 958
 lambda=1710.8a-2399.0a freeman, d. e., yoshino, k., esmond, j.,
    and parkinson, w. h., planet space sci. 32, 1125 (1984).
 threshold: lambda=2179.a  freeman et al. (1984)

      0.61  3.40e-22
      1.24  2.90e-21
      2.44  2.00e-20
      5.00  1.50e-19
      5.20  3.00e-20
      6.15  5.50e-20
     12.57  3.90e-19
     22.64  1.50e-19
     23.61  7.00e-19
     24.62  8.00e-19
     50.32  4.70e-18
     52.47  4.70e-18
     62.09  5.10e-18
     67.53  6.00e-18
     70.45  3.40e-18
     73.45  1.30e-18
    121.70  3.90e-18
    200.00  1.00e-17
    250.00  1.30e-17
    300.00  1.60e-17
    350.00  1.75e-17
    400.00  2.20e-17
    450.00  2.35e-17
    500.00  3.00e-17
    550.00  4.25e-17
    600.00  5.10e-17
    650.00  5.50e-17
    700.00  5.30e-17
    750.00  4.15e-17
    800.00  3.40e-17
    835.00  3.90e-17
   1065.00  1.97e-17
   1070.00  1.49e-17
   1080.00  2.16e-17
   1085.00  1.23e-17
   1090.00  1.49e-17
   1100.00  1.15e-17
   1108.00  1.86e-17
   1112.00  1.67e-17
   1120.00  2.98e-17
   1125.00  2.60e-17
   1135.00  4.46e-17
   1140.00  1.49e-17
   1145.00  2.79e-17
   1150.00  8.56e-18
   1160.00  7.44e-18
   1170.00  8.56e-18
   1180.00  7.44e-18
   1200.00  1.60e-17
   1220.00  3.44e-17
   1240.00  5.95e-17
   1255.00  1.30e-16
   1280.00  4.09e-17
   1305.00  1.04e-17
   1315.00  1.49e-17
   1320.00  1.15e-17
   1330.00  1.10e-17
   1340.00  1.08e-17
   1345.00  3.27e-18
   1350.00  4.46e-18
   1360.00  3.16e-18
   1395.00  3.72e-18
   1400.00  3.35e-18
   1422.00  4.46e-18
   1430.00  3.72e-18
   1435.00  4.09e-18
   1442.00  3.53e-18
   1447.00  4.84e-18
   1450.00  3.72e-18
   1458.00  5.58e-18
   1466.00  5.21e-18
   1470.00  5.95e-18
   1482.00  5.21e-18
   1485.00  6.32e-18
   1490.00  5.21e-18
   1502.00  6.70e-18
   1507.00  5.58e-18
   1513.00  6.32e-18
   1524.00  3.72e-18
   1528.00  5.95e-18
   1538.00  3.35e-18
   1544.00  5.95e-18
   1550.00  2.98e-18
   1558.00  5.58e-18
   1565.00  2.23e-18
   1573.00  3.34e-18
   1582.00  1.79e-18
   1587.00  2.23e-18
   1600.00  1.41e-18
   1640.00  3.72e-19
   1665.00  2.60e-19
   1675.00  3.35e-19
   1680.00  2.98e-19
   1685.00  3.72e-19
   1690.00  3.16e-19
   1695.00  5.21e-19
   1700.00  4.09e-19
   1711.00  3.82e-19
   1712.00  3.68e-19
   1713.00  4.25e-19
   1714.00  3.93e-19
   1715.00  5.45e-19
   1716.00  6.10e-19
   1717.00  6.20e-19
   1718.00  6.32e-19
   1719.00  5.72e-19
   1720.00  4.79e-19
   1721.00  4.56e-19
   1722.00  4.55e-19
   1723.00  4.86e-19
   1724.00  5.36e-19
   1725.00  6.33e-19
   1726.00  6.22e-19
   1727.00  6.77e-19
   1728.00  8.35e-19
   1729.00  8.06e-19
   1730.00  7.10e-19
   1731.00  6.36e-19
   1732.00  5.32e-19
   1733.00  4.50e-19
   1734.00  4.55e-19
   1735.00  6.17e-19
   1736.00  7.89e-19
   1737.00  1.06e-18
   1738.00  1.07e-18
   1739.00  9.24e-19
   1740.00  8.42e-19
   1741.00  7.51e-19
   1742.00  7.88e-19
   1743.00  6.93e-19
   1744.00  9.10e-19
   1745.00  8.40e-19
   1746.00  8.28e-19
   1747.00  8.21e-19
