
From whuebner@swri.edu Tue Jul 20 16:05:02 1999
X-Sender: whuebner@espsun.space.swri.edu
Date: Tue, 20 Jul 1999 16:04:07 -0500
To: Joey@swri.edu
From: Walter Huebner <whuebner@swri.edu>
Subject: Solar Flux
Mime-Version: 1.0

Joey,
the first set of data is the solar flux (Quiet Sun)
The second set is the ratio of the flux for the Active Sun/Quiet Sun


Wavel	Radflx
0	0.1
2	30
4	2500
6	28000
8	180000
10	4000000
40	4.7e+007
50	8.3e+007
60	1.03e+008
70	9.4e+007
80	1.2e+008
90	9.9e+007
100	5.6e+007
110	2.5e+007
120	1.2e+007
128	3.07e+008
153	9e+008
176	3.7e+009
205	1.4e+009
231	2.65e+009
270	4.5e+008
280	1.54e+009
300	5.84e+009
320	1.16e+009
340	4.5e+008
360	1.31e+009
370	1.77e+008
400	2.76e+008
430	1.77e+008
460	2.12e+008
480	4.32e+008
500	6.32e+008
520	2.42e+008
540	3.62e+008
560	5.17e+007
580	1.02e+009
600	5.52e+008
620	1.2e+009
630	1.15e+008
680	3.39e+008
710	1.59e+008
740	5.19e+008
770	1.28e+009
800	8.07e+008
830	2.05e+009
860	2.73e+009
890	3.34e+009
911	9.39e+007
920	2.34e+008
930	5.84e+008
940	5.94e+008
950	1.04e+008
960	1.04e+008
970	5.3e+009
980	7.56e+008
995	1.25e+008
1007	1.04e+008
1017	3.6e+009
1027	2.46e+009
1035	1.83e+009
1045	1.57e+008
1057	1.7e+008
1070	1.31e+008
1080	7.21e+008
1090	1.31e+008
1100	1.31e+008
1110	1.31e+008
1120	6.21e+008
1130	1.31e+008
1140	1.31e+008
1150	9.15e+007
1157	7.84e+007
1163	1.03e+008
1170	2.66e+008
1176	1.12e+008
1183	1.24e+008
1190	1.82e+008
1198	1.9e+008
1205	7.4e+008
1212	3.02e+011
1220	3.67e+009
1227	1.36e+009
1235	1.61e+009
1242	1.32e+009
1250	1.41e+009
1258	3.11e+009
1266	1.06e+009
1274	1.37e+009
1282	1.02e+009
1290	1.14e+009
1299	7.29e+009
1307	2.2e+009
1316	1.59e+009
1324	2.21e+009
1333	1.24e+010
1342	1.99e+009
1351	3.09e+009
1360	2.57e+009
1370	2.74e+009
1379	3.1e+009
1389	7.6e+009
1408	1.01e+010
1428	1.3e+010
1449	1.82e+010
1470	2.33e+010
1492	2.66e+010
1515	2.9e+010
1538	3.6e+010
1562	4.75e+010
1587	6.4e+010
1613	5.49e+010
1639	1.19e+011
1667	1.76e+011
1695	2.32e+011
1724	1.44e+011
1739	1.83e+011
1754	2.34e+011
1770	2.62e+011
1786	2.88e+011
1802	3.14e+011
1818	3.81e+011
1835	4.43e+011
1852	4.95e+011
1869	5.94e+011
1887	6.59e+011
1905	7.26e+011
1923	9.85e+011
1942	1.27e+012
1961	1.01e+012
1980	1.2e+012
2000	1.44e+012
2020	1.8e+012
2041	2.08e+012
2062	2.45e+012
2083	5.09e+012
2105	7.12e+012
2128	9.23e+012
2150	8.42e+012
2174	1.2e+013
2198	1.22e+013
2222	1.77e+013
2247	1.6e+013
2273	1.96e+013
2299	2.4e+013
2326	2.25e+013
2353	2.21e+013
2381	2.32e+013
2410	2.5e+013
2439	2.73e+013
2469	2.88e+013
2500	3.02e+013
2532	3.97e+013
2564	7.13e+013
2597	4.37e+013
2632	1.12e+014
2667	1.25e+014
2703	1.16e+014
2740	1.19e+014
2778	1.38e+014
2817	1.7e+014
2857	2.46e+014
2899	3.9e+014
2941	3.99e+014
2985	3.86e+014
3030	5.08e+014
3077	5.92e+014
3125	6.05e+014
3175	6.94e+014
3225	8.12e+014
3275	9.71e+014
3325	8.97e+014
3375	9.44e+014
3425	1.01e+015
3475	1.03e+015
3525	1.03e+015
3575	1.04e+015
3625	1.18e+015
3675	1.23e+015
3725	1.24e+015
3775	1.17e+015
3825	1.11e+015
3875	1.09e+015
3925	1.19e+015
3975	1.54e+015
4025	1.9e+015
4075	1.99e+015
4125	1.99e+015
4175	2.02e+015
4225	2.01e+015
4275	1.94e+015
4325	1.98e+015
4375	2.25e+015
4425	2.39e+015
4475	2.48e+015
4525	2.49e+015
4575	2.48e+015
4625	2.5e+015
4675	2.55e+015
4725	2.61e+015
4775	2.59e+015
4825	2.46e+015
4875	2.44e+015
4925	2.53e+015
4975	2.48e+015
5025	2.49e+015
5075	2.5e+015
5125	2.43e+015
5175	2.43e+015
5225	2.52e+015
5275	2.58e+015
5325	2.64e+015
5375	2.67e+015
5425	2.7e+015
5475	2.68e+015
5525	2.66e+015
5575	2.66e+015
5625	2.67e+015
5675	2.67e+015
5725	2.69e+015
5775	2.71e+015
5825	2.71e+015
5875	2.71e+015
5925	2.72e+015
5975	2.72e+015
6025	2.71e+015
6075	2.7e+015
6125	2.7e+015
6175	2.7e+015
6225	2.69e+015
6275	2.68e+015
6325	2.67e+015
6375	2.66e+015
6425	2.65e+015
6475	3.95e+015
6550	5.22e+015
6650	5.18e+015
6750	5.14e+015
6850	5.09e+015
6950	5.04e+015
7050	4.99e+015
7150	4.94e+015
7250	4.9e+015
7350	4.83e+015
7450	4.8e+015
7550	4.67e+015
7650	4.59e+015
7750	4.68e+015
7850	4.54e+015
7950	4.6e+015
8050	4.53e+015
8150	4.41e+015
8250	4.34e+015
8350	4.31e+015
8450	4.03e+015
8550	4.33e+015
8650	4.25e+015
8750	4.27e+015
8850	4.23e+015
8950	4.13e+015
9050	4.01e+015
9150	3.89e+015
9250	3.88e+015
9350	3.78e+015
9450	3.76e+015
9550	3.72e+015
9650	3.72e+015
9750	3.79e+015
9850	3.79e+015
9950	7.49e+015
10150	2.11e+016
10750	1.68e+016
11250	1.6e+016
11750	1.5e+016
12250	1.48e+016
12750	1.43e+016
13250	1.32e+016
13750	1.25e+016
14250	1.16e+016
14750	1.12e+016
15250	1.07e+016
15750	9.95e+015
16250	9.72e+015
16750	9.2e+015
17250	8.24e+015
17750	7.7e+015
18250	6.94e+015
18750	6.51e+015
19250	6.19e+015
19750	7.46e+015
20375	1.11e+016
21500	8.28e+015
22500	7.33e+015
23500	6.83e+015
24500	6.07e+015
25500	5.5e+015
26500	4.96e+015
27500	4.51e+015
28500	4.09e+015
29500	3.74e+015
30500	3.4e+015
31500	3.18e+015
32500	2.87e+015
33500	2.7e+015
34500	2.47e+015
35500	2.31e+015
36500	2.14e+015
37500	2.01e+015
38500	1.87e+015
39500	1.71e+015
40500	1.6e+015
41500	1.48e+015
42500	1.41e+015
43500	1.33e+015
44500	1.25e+015
45500	1.16e+015
46500	1.06e+015
47500	9.67e+014
48500	9.25e+014
49500	2.84e+015
52750	6.74e+015
65000	3.35e+015
75000	2.22e+015
85000	1.59e+015
95000	4.53e+015
140000	

Wavel  Flxrat
0	6.37
2	6.37
4	6.37
6	6.37
8	6.37
10	6.37
40	6.37
50	6.37
60	2.5
70	2.5
80	2.3
90	2.1
100	2.13
110	2.34
120	2.56
128	3.6
153	4.51
176	5.38
205	5.38
231	2.1
270	2.1
280	2.53
300	2.96
320	2.96
340	2.13
360	2.37
370	2.84
400	2.84
430	2.4
460	2.4
480	2.3
500	2.2
520	2.2
540	2.02
560	2.02
580	1.88
600	1.79
620	1.79
630	1.96
680	2.04
710	2.18
740	1.94
770	2.46
800	2.43
830	2.4
860	2.4
890	2.4
911	2.4
920	1.96
930	1.96
940	1.96
950	1.96
960	2.2
970	2.37
980	2.37
995	2.37
1007	2.37
1017	1.99
1027	1.72
1035	1.72
1045	1.72
1057	1.72
1070	1.84
1080	1.84
1090	1.84
1100	1.84
1110	1.84
1120	1.84
1130	1.92
1140	1.92
1150	1.92
1157	1.92
1163	1.92
1170	1.92
1176	2.37
1183	2.55
1190	2.55
1198	2.55
1205	2.55
1212	2.55
1220	2.55
1227	2.13
1235	2.13
1242	2.13
1250	2.13
1258	2.13
1266	2.13
1274	1.89
1282	1.85
1290	1.85
1299	1.85
1307	1.85
1316	1.88
1324	2.08
1333	2.08
1342	2.08
1351	2.08
1360	2.01
1370	1.91
1379	1.91
1389	1.65
1408	1.64
1428	1.61
1449	1.59
1470	1.55
1492	1.5
1515	1.49
1538	1.47
1562	1.41
1587	1.37
1613	1.26
1639	1.24
1667	1.22
1695	1.15
1724	1.15
1739	1.15
1754	1.15
1770	1.15
1786	1.15
1802	1.13
1818	1.13
1835	1.13
1852	1.13
1869	1.13
